model_name,group,feature_block,best_cv_score_grid,best_params
early_middle_scale__lr__l1,sequential_scale,early_middle_scale,0.8742647058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
sequential_interactions__lr__l2,sequential_scale,sequential_interactions,0.8746323529411765,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
all_plus_interactions__svc__sigmoid,three_stage_full_interaction,all_plus_interactions,0.8680147058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
middle_late__svc__sigmoid,two_stage_raw,middle_late,0.8805147058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
all_plus_interactions__lr__elasticnet,three_stage_full_interaction,all_plus_interactions,0.8742647058823529,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.75}"
middle__lr__l1,single_stage_middle_moderate,middle,0.8680147058823529,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
middle_late__lr__l1,two_stage_raw,middle_late,0.8680147058823529,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
middle__svc__poly3,single_stage_middle_moderate,middle,0.8683823529411765,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
middle__svc__sigmoid,single_stage_middle_moderate,middle,0.8805147058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
middle_late__svc__poly3,two_stage_raw,middle_late,0.8742647058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
sequential_interactions__lr__l1,sequential_scale,sequential_interactions,0.8683823529411765,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
all_plus_interactions__svc__poly3,three_stage_full_interaction,all_plus_interactions,0.8735294117647058,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
middle_late_scale__svc__sigmoid,sequential_scale,middle_late_scale,0.8680147058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
middle_late_scale__lr__l1,sequential_scale,middle_late_scale,0.8621323529411764,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
sequential_interactions__svc__poly3,sequential_scale,sequential_interactions,0.8680147058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
middle_late_scale__svc__rbf,sequential_scale,middle_late_scale,0.8621323529411764,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
early_middle__svc__poly3,two_stage_raw,early_middle,0.8797794117647058,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
early_middle__svc__rbf,two_stage_raw,early_middle,0.8375,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
all__svc__poly3,three_stage_raw,all,0.8797794117647058,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
all__svc__rbf,three_stage_raw,all,0.84375,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
early_middle_scale__svc__poly3,sequential_scale,early_middle_scale,0.8738970588235293,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
sequential_interactions__lr__elasticnet,sequential_scale,sequential_interactions,0.85625,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.5}"
all_plus_interactions__svc__rbf,three_stage_full_interaction,all_plus_interactions,0.8319852941176471,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
sequential_interactions__svc__rbf,sequential_scale,sequential_interactions,0.8323529411764706,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
middle_late__svc__rbf,two_stage_raw,middle_late,0.8264705882352941,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
middle__svc__rbf,single_stage_middle_moderate,middle,0.8264705882352941,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
early_middle_scale__svc__rbf,sequential_scale,early_middle_scale,0.8319852941176471,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
sequential_interactions__svc__sigmoid,sequential_scale,sequential_interactions,0.8198529411764707,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
early_middle__mlp__small,performance_anchor,early_middle,0.7834558823529412,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [32], ""clf__learning_rate_init"": 0.001}"
early_late__svc__poly3,two_stage_raw,early_late,0.7540441176470589,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
early__lr__elasticnet,single_stage_early_mild,early,0.7779411764705882,"{""clf__C"": 0.03, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.25}"
