model_name,cv_accuracy,cv_balanced_accuracy,cv_f1,cv_roc_auc,cv_pr_auc,best_cv_score_grid,external_accuracy,external_balanced_accuracy,external_f1,external_roc_auc,external_pr_auc,accuracy_gap,balanced_accuracy_gap,roc_auc_gap
middle__lr__elasticnet,0.8975903614457831,0.8988069256510985,0.8994082840236687,0.9553324603521024,0.9640928307143972,0.8977941176470589,0.676056338028169,0.6777777777777778,0.7088607594936709,0.792063492063492,0.7799036719955909,0.22153402341761408,0.22102914787332073,0.16326896828861037
middle_late__lr__elasticnet,0.8975903614457831,0.8988069256510985,0.8994082840236687,0.9551869634802852,0.9640566063564886,0.8977941176470589,0.676056338028169,0.6777777777777778,0.7088607594936709,0.792063492063492,0.781922822435794,0.22153402341761408,0.22102914787332073,0.16312347141679318
middle__svc__linear,0.891566265060241,0.8907318492652407,0.8977272727272727,0.9611523352247926,0.9682730677638051,0.8856617647058822,0.676056338028169,0.6785714285714286,0.7228915662650602,0.7992063492063493,0.8159141167043439,0.21550992703207195,0.21216042069381214,0.16194598601844334
middle_late_scale__lr__l1,0.8614457831325302,0.8625782045686017,0.863905325443787,0.9295795140404483,0.9433901640000957,0.8621323529411764,0.647887323943662,0.65,0.691358024691358,0.7706349206349206,0.7567176159618781,0.21355845918886818,0.21257820456860166,0.1589445934055277
sequential_interactions__lr__l1,0.8674698795180723,0.8671613560308453,0.8735632183908046,0.9404917794267423,0.9546381884263638,0.8683823529411765,0.6619718309859155,0.6634920634920636,0.6923076923076923,0.7706349206349207,0.7657813497229401,0.2054980485321568,0.20366929253878174,0.16985685879182166
middle_late__svc__linear,0.891566265060241,0.8913138367525097,0.896551724137931,0.9594063727629856,0.9664724743310993,0.8919117647058823,0.6901408450704225,0.6924603174603174,0.7317073170731707,0.7976190476190477,0.8117765297263158,0.20142541998981844,0.1988535192921923,0.1617873251439379
stage_activation_summary__svc__poly3,0.7349397590361446,0.7285028371890003,0.7731958762886598,0.722901207624036,0.6518768607483159,0.7599264705882354,0.5352112676056338,0.5357142857142857,0.547945205479452,0.6285714285714286,0.6531247372817414,0.19972849143051086,0.19278855147471463,0.09432977905260742
stage_activation_summary__svc__poly2,0.7469879518072289,0.7423250400116397,0.776595744680851,0.7311945293176196,0.6707202428781869,0.7470588235294118,0.5492957746478874,0.5496031746031746,0.5555555555555556,0.6325396825396825,0.643675763047011,0.1976921771593415,0.19272186540846503,0.09865484677793712
sequential_interactions__lr__elasticnet,0.8554216867469879,0.8545031281827441,0.8636363636363636,0.9303069983995345,0.9417810356802783,0.85625,0.676056338028169,0.6777777777777778,0.7088607594936709,0.7873015873015873,0.7907210967011135,0.17936534871881893,0.17672535040496629,0.14300541109794718
middle__lr__l1,0.8674698795180723,0.8712352684417285,0.8625,0.9356903826567728,0.9491446692156058,0.8680147058823529,0.6901408450704225,0.6912698412698413,0.7105263157894737,0.7698412698412698,0.7392549479176159,0.1773290344476498,0.17996542717188724,0.16584911281550307
middle_late__lr__l1,0.8674698795180723,0.8712352684417285,0.8625,0.9365633638876765,0.9499028227860822,0.8680147058823529,0.6901408450704225,0.6912698412698413,0.7105263157894737,0.7698412698412699,0.7398853671655466,0.1773290344476498,0.17996542717188724,0.1667220940464066
