model_name,error_type,n
early_late__lr__l2,FN_late,1
early_late__lr__l2,FN_middle,3
early_late__lr__l2,FP_normal,11
early_late__lr__l2,correct,50
early_late__svc__linear,FN_AD_high_MMSE,3
early_late__svc__linear,FN_early,2
early_late__svc__linear,FN_middle,3
early_late__svc__linear,FP_normal,15
early_late__svc__linear,correct,48
early_late__svc__poly2,FN_AD_high_MMSE,3
early_late__svc__poly2,FN_early,2
early_late__svc__poly2,FN_late,1
early_late__svc__poly2,FN_middle,2
early_late__svc__poly2,FP_normal,13
early_late__svc__poly2,correct,50
early_late__svc__poly3,FN_AD_high_MMSE,3
early_late__svc__poly3,FN_early,2
early_late__svc__poly3,FN_late,1
early_late__svc__poly3,FN_middle,1
early_late__svc__poly3,FP_normal,13
early_late__svc__poly3,correct,51
early_late__svc__rbf,FN_AD_high_MMSE,3
early_late__svc__rbf,FN_early,2
early_late__svc__rbf,FN_late,1
early_late__svc__rbf,FN_middle,4
early_late__svc__rbf,FP_normal,12
early_late__svc__rbf,correct,49
early_late__svc__sigmoid,FN_AD_high_MMSE,3
early_late__svc__sigmoid,FN_early,2
early_late__svc__sigmoid,FN_late,1
early_late__svc__sigmoid,FN_middle,5
early_late__svc__sigmoid,FP_normal,13
early_late__svc__sigmoid,correct,47
early_middle__lr__elasticnet,FN_AD_high_MMSE,1
early_middle__lr__elasticnet,FN_early,1
early_middle__lr__elasticnet,FN_middle,2
early_middle__lr__elasticnet,FP_normal,14
early_middle__lr__elasticnet,correct,53
early_middle__lr__l1,FN_AD_high_MMSE,1
early_middle__lr__l1,FN_early,1
early_middle__lr__l1,FN_middle,2
early_middle__lr__l1,FP_normal,14
early_middle__lr__l1,correct,53
early_middle__lr__l2,FN_AD_high_MMSE,1
early_middle__lr__l2,FN_early,1
early_middle__lr__l2,FN_middle,1
early_middle__lr__l2,FP_normal,12
early_middle__lr__l2,correct,56
early_middle__mlp__small,FN_AD_high_MMSE,4
early_middle__mlp__small,FN_early,4
early_middle__mlp__small,FN_late,1
early_middle__mlp__small,FN_middle,8
early_middle__mlp__small,FP_normal,8
early_middle__mlp__small,correct,46
early_middle__svc__linear,FN_AD_high_MMSE,1
early_middle__svc__linear,FN_early,1
early_middle__svc__linear,FN_middle,2
early_middle__svc__linear,FP_normal,15
early_middle__svc__linear,correct,52
early_middle__svc__poly2,FN_AD_high_MMSE,1
early_middle__svc__poly2,FN_early,1
early_middle__svc__poly2,FN_middle,1
early_middle__svc__poly2,FP_normal,14
early_middle__svc__poly2,correct,54
early_middle__svc__poly3,FN_early,1
early_middle__svc__poly3,FN_middle,1
early_middle__svc__poly3,FP_normal,9
early_middle__svc__poly3,correct,60
early_middle__svc__rbf,FN_AD_high_MMSE,1
early_middle__svc__rbf,FN_early,1
early_middle__svc__rbf,FN_middle,2
early_middle__svc__rbf,FP_normal,13
early_middle__svc__rbf,correct,54
early_middle__svc__sigmoid,FN_AD_high_MMSE,1
early_middle__svc__sigmoid,FN_early,1
early_middle__svc__sigmoid,FN_late,1
early_middle__svc__sigmoid,FN_middle,2
early_middle__svc__sigmoid,FP_normal,12
early_middle__svc__sigmoid,correct,54
early_middle_scale__lr__elasticnet,FN_AD_high_MMSE,1
early_middle_scale__lr__elasticnet,FN_early,1
early_middle_scale__lr__elasticnet,FN_middle,2
early_middle_scale__lr__elasticnet,FP_normal,14
early_middle_scale__lr__elasticnet,correct,53
early_middle_scale__lr__l1,FN_AD_high_MMSE,1
early_middle_scale__lr__l1,FN_early,1
early_middle_scale__lr__l1,FN_middle,2
early_middle_scale__lr__l1,FP_normal,14
early_middle_scale__lr__l1,correct,53
early_middle_scale__lr__l2,FN_AD_high_MMSE,1
early_middle_scale__lr__l2,FN_early,1
early_middle_scale__lr__l2,FN_late,1
early_middle_scale__lr__l2,FN_middle,1
early_middle_scale__lr__l2,FP_normal,12
early_middle_scale__lr__l2,correct,55
early_middle_scale__svc__linear,FN_AD_high_MMSE,1
early_middle_scale__svc__linear,FN_early,1
early_middle_scale__svc__linear,FN_middle,2
early_middle_scale__svc__linear,FP_normal,16
early_middle_scale__svc__linear,correct,51
early_middle_scale__svc__poly2,FN_AD_high_MMSE,1
early_middle_scale__svc__poly2,FN_early,1
early_middle_scale__svc__poly2,FN_middle,1
early_middle_scale__svc__poly2,FP_normal,13
early_middle_scale__svc__poly2,correct,55
early_middle_scale__svc__poly3,FN_early,1
early_middle_scale__svc__poly3,FN_middle,2
early_middle_scale__svc__poly3,FP_normal,9
early_middle_scale__svc__poly3,correct,59
early_middle_scale__svc__rbf,FN_AD_high_MMSE,1
early_middle_scale__svc__rbf,FN_early,1
early_middle_scale__svc__rbf,FN_middle,2
early_middle_scale__svc__rbf,FP_normal,14
early_middle_scale__svc__rbf,correct,53
early_middle_scale__svc__sigmoid,FN_AD_high_MMSE,1
early_middle_scale__svc__sigmoid,FN_early,1
early_middle_scale__svc__sigmoid,FN_late,1
early_middle_scale__svc__sigmoid,FN_middle,2
early_middle_scale__svc__sigmoid,FP_normal,12
early_middle_scale__svc__sigmoid,correct,54
late__lr__elasticnet,FN_AD_high_MMSE,2
late__lr__elasticnet,FN_early,2
late__lr__elasticnet,FN_late,2
late__lr__elasticnet,FN_middle,7
late__lr__elasticnet,FP_normal,13
late__lr__elasticnet,correct,45
late__lr__l1,FN_AD_high_MMSE,2
late__lr__l1,FN_early,3
late__lr__l1,FN_late,2
late__lr__l1,FN_middle,8
late__lr__l1,FP_normal,8
late__lr__l1,correct,48
late__lr__l2,FN_AD_high_MMSE,2
late__lr__l2,FN_early,2
late__lr__l2,FN_late,2
late__lr__l2,FN_middle,8
late__lr__l2,FP_normal,9
late__lr__l2,correct,48
late__svc__linear,FN_AD_high_MMSE,2
late__svc__linear,FN_early,3
late__svc__linear,FN_late,2
late__svc__linear,FN_middle,10
late__svc__linear,FP_normal,7
late__svc__linear,correct,47
late__svc__poly2,FN_AD_high_MMSE,2
late__svc__poly2,FN_early,2
late__svc__poly2,FN_late,2
late__svc__poly2,FN_middle,7
late__svc__poly2,FP_normal,16
late__svc__poly2,correct,42
late__svc__poly3,FN_AD_high_MMSE,2
late__svc__poly3,FN_early,1
late__svc__poly3,FN_late,1
late__svc__poly3,FN_middle,6
late__svc__poly3,FP_normal,17
late__svc__poly3,correct,44
late__svc__rbf,FN_AD_high_MMSE,2
late__svc__rbf,FN_early,1
late__svc__rbf,FN_late,2
late__svc__rbf,FN_middle,6
late__svc__rbf,FP_normal,14
late__svc__rbf,correct,46
late__svc__sigmoid,FN_AD_high_MMSE,2
late__svc__sigmoid,FN_early,2
late__svc__sigmoid,FN_late,2
late__svc__sigmoid,FN_middle,8
late__svc__sigmoid,FP_normal,11
late__svc__sigmoid,correct,46
middle__lr__elasticnet,FN_AD_high_MMSE,2
middle__lr__elasticnet,FN_early,1
middle__lr__elasticnet,FN_late,1
middle__lr__elasticnet,FN_middle,3
middle__lr__elasticnet,FP_normal,16
middle__lr__elasticnet,correct,48
middle__lr__l1,FN_AD_high_MMSE,2
middle__lr__l1,FN_early,1
middle__lr__l1,FN_late,1
middle__lr__l1,FN_middle,4
middle__lr__l1,FP_normal,14
middle__lr__l1,correct,49
middle__lr__l2,FN_AD_high_MMSE,2
middle__lr__l2,FN_early,1
middle__lr__l2,FN_late,1
middle__lr__l2,FN_middle,2
middle__lr__l2,FP_normal,12
middle__lr__l2,correct,53
middle__svc__linear,FN_AD_high_MMSE,1
middle__svc__linear,FN_early,1
middle__svc__linear,FN_late,1
middle__svc__linear,FN_middle,2
middle__svc__linear,FP_normal,18
middle__svc__linear,correct,48
middle__svc__poly2,FN_early,1
middle__svc__poly2,FN_late,1
middle__svc__poly2,FN_middle,1
middle__svc__poly2,FP_normal,13
middle__svc__poly2,correct,55
middle__svc__poly3,FN_AD_high_MMSE,1
middle__svc__poly3,FN_early,1
middle__svc__poly3,FN_late,1
middle__svc__poly3,FN_middle,1
middle__svc__poly3,FP_normal,10
middle__svc__poly3,correct,57
middle__svc__rbf,FN_AD_high_MMSE,1
middle__svc__rbf,FN_early,1
middle__svc__rbf,FN_middle,2
middle__svc__rbf,FP_normal,11
middle__svc__rbf,correct,56
middle__svc__sigmoid,FN_AD_high_MMSE,2
middle__svc__sigmoid,FN_early,1
middle__svc__sigmoid,FN_late,1
middle__svc__sigmoid,FN_middle,1
middle__svc__sigmoid,FP_normal,14
middle__svc__sigmoid,correct,52
middle_late__lr__elasticnet,FN_AD_high_MMSE,2
