early_variant,model_name,feature_block,n_seeds,external_accuracy_mean,external_accuracy_std,external_accuracy_min,external_accuracy_q25,external_accuracy_median,external_accuracy_q75,external_accuracy_max,external_f1_mean,external_auc_mean
earlyv0,Logistic Regression,early_only,30,0.7183098591549294,2.2584051416334807e-16,0.7183098591549296,0.7183098591549296,0.7183098591549296,0.7183098591549296,0.7183098591549296,0.722222222222222,0.7357142857142853
earlyv1,RBF SVM,all,30,0.704225352112676,0.0,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.6956521739130433,0.7603174603174601
earlyv0,RBF SVM,all,30,0.704225352112676,0.0,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.6956521739130433,0.7595238095238095
earlyv1,Logistic Regression,early_only,30,0.704225352112676,0.0,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.7123287671232877,0.7357142857142853
earlyv0,Linear SVM,middle_late,30,0.704225352112676,0.0,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.6440677966101694,0.7198412698412695
earlyv1,Linear SVM,middle_late,30,0.704225352112676,0.0,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.6440677966101694,0.7198412698412695
earlyv0,Logistic Regression,middle_late,30,0.704225352112676,0.0,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.6956521739130433,0.7158730158730157
earlyv1,Logistic Regression,middle_late,30,0.704225352112676,0.0,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.6956521739130433,0.7158730158730157
earlyv0,RBF SVM,early_only,30,0.6901408450704227,2.2584051416334807e-16,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.7179487179487182,0.7619047619047621
earlyv1,RBF SVM,early_only,30,0.6901408450704227,2.2584051416334807e-16,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.7179487179487182,0.7603174603174601
earlyv1,Linear SVM,early_middle_scale,30,0.6901408450704227,2.2584051416334807e-16,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.7105263157894736,0.7396825396825399
earlyv0,Linear SVM,early_middle_scale,30,0.6901408450704227,2.2584051416334807e-16,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.7105263157894736,0.7388888888888886
earlyv0,RBF SVM,early_middle,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6461538461538464,0.7531746031746032
earlyv1,RBF SVM,early_middle,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6461538461538464,0.7531746031746032
earlyv0,Logistic Regression,early_middle_scale,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6760563380281688,0.7523809523809526
earlyv1,Logistic Regression,early_middle_scale,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6760563380281688,0.7523809523809526
earlyv0,RBF SVM,early_middle_scale,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6461538461538464,0.7507936507936506
earlyv1,RBF SVM,early_middle_scale,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6461538461538464,0.7507936507936506
earlyv0,Logistic Regression,all_plus_interactions,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6666666666666669,0.7412698412698411
earlyv1,Logistic Regression,all_plus_interactions,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6666666666666669,0.7404761904761905
earlyv0,Linear SVM,middle_only,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6101694915254235,0.7325396825396823
earlyv1,Linear SVM,middle_only,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6101694915254235,0.7325396825396823
earlyv0,Logistic Regression,all,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6760563380281688,0.7325396825396822
