seed,early_variant,model_name,feature_block,best_params,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_auc,external_accuracy,external_precision,external_recall,external_f1,external_auc,external_correct_n,external_total_n
0,earlyv0,Logistic Regression,early_only,"{""C"": 1.0, ""class_weight"": null}",0.7048192771084337,0.7209302325581395,0.7126436781609196,0.7167630057803468,0.7749163392987051,0.7183098591549296,0.7027027027027027,0.7428571428571429,0.7222222222222222,0.7357142857142857,51,71
0,earlyv0,Linear SVM,early_only,"{""C"": 1.0, ""class_weight"": null}",0.7168674698795181,0.7,0.8045977011494253,0.7486631016042781,0.7572384693729085,0.5633802816901409,0.5333333333333333,0.9142857142857144,0.6736842105263158,0.6976190476190476,40,71
0,earlyv0,RBF SVM,early_only,"{""C"": 1.0, ""class_weight"": null, ""gamma"": ""scale""}",0.7891566265060241,0.7708333333333334,0.8505747126436781,0.8087431693989071,0.825767495998836,0.6901408450704225,0.6511627906976745,0.8,0.717948717948718,0.7619047619047619,49,71
0,earlyv0,Logistic Regression,middle_only,"{""C"": 1.0, ""class_weight"": null}",0.6265060240963856,0.6506024096385542,0.6206896551724138,0.6352941176470588,0.6796158882584025,0.676056338028169,0.7,0.6,0.6461538461538462,0.7158730158730159,48,71
0,earlyv0,Linear SVM,middle_only,"{""C"": 1.0, ""class_weight"": null}",0.5662650602409639,0.6153846153846154,0.4597701149425287,0.5263157894736842,0.6501527717154081,0.676056338028169,0.75,0.5142857142857142,0.6101694915254238,0.7325396825396826,48,71
0,earlyv0,RBF SVM,middle_only,"{""C"": 1.0, ""class_weight"": null, ""gamma"": ""scale""}",0.7168674698795181,0.6818181818181818,0.8620689655172413,0.7614213197969543,0.7800087298123091,0.6056338028169014,0.5945945945945946,0.6285714285714286,0.6111111111111112,0.7126984126984127,43,71
0,earlyv0,Logistic Regression,late_only,"{""C"": 1.0, ""class_weight"": null}",0.6325301204819277,0.6413043478260869,0.6781609195402298,0.659217877094972,0.6934380910810417,0.6197183098591549,0.5833333333333334,0.8,0.6746987951807228,0.6095238095238095,44,71
0,earlyv0,Linear SVM,late_only,"{""C"": 1.0, ""class_weight"": null}",0.6626506024096386,0.7066666666666667,0.6091954022988506,0.654320987654321,0.7152626218536302,0.6197183098591549,0.6052631578947368,0.6571428571428571,0.6301369863013698,0.6039682539682539,44,71
0,earlyv0,RBF SVM,late_only,"{""C"": 1.0, ""class_weight"": null, ""gamma"": ""scale""}",0.6144578313253012,0.6036036036036037,0.7701149425287356,0.6767676767676768,0.6467335952277026,0.5915492957746479,0.56,0.8,0.6588235294117647,0.5904761904761905,42,71
0,earlyv0,Logistic Regression,early_middle,"{""C"": 1.0, ""class_weight"": null}",0.6987951807228916,0.7176470588235294,0.7011494252873564,0.7093023255813954,0.7720064018623599,0.6619718309859155,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.7182539682539683,47,71
0,earlyv0,Linear SVM,early_middle,"{""C"": 1.0, ""class_weight"": null}",0.7168674698795181,0.7380952380952381,0.7126436781609196,0.7251461988304093,0.7431980212425433,0.676056338028169,0.7307692307692307,0.5428571428571428,0.6229508196721312,0.711111111111111,48,71
0,earlyv0,RBF SVM,early_middle,"{""C"": 1.0, ""class_weight"": null, ""gamma"": ""scale""}",0.8012048192771084,0.75,0.9310344827586208,0.8307692307692308,0.8640331732867743,0.676056338028169,0.7,0.6,0.6461538461538462,0.7531746031746032,48,71
0,earlyv0,Logistic Regression,early_middle_scale,"{""C"": 1.0, ""class_weight"": null}",0.6807228915662651,0.6976744186046512,0.6896551724137931,0.6936416184971098,0.7679324894514769,0.676056338028169,0.6666666666666666,0.6857142857142857,0.676056338028169,0.7523809523809524,48,71
0,earlyv0,Linear SVM,early_middle_scale,"{""C"": 1.0, ""class_weight"": null}",0.7048192771084337,0.7209302325581395,0.7126436781609196,0.7167630057803468,0.7324312527280663,0.6901408450704225,0.6585365853658537,0.7714285714285715,0.7105263157894737,0.7388888888888889,49,71
0,earlyv0,RBF SVM,early_middle_scale,"{""C"": 1.0, ""class_weight"": null, ""gamma"": ""scale""}",0.7771084337349398,0.7450980392156863,0.8735632183908046,0.8042328042328042,0.8634511857995053,0.676056338028169,0.7,0.6,0.6461538461538462,0.7507936507936508,48,71
0,earlyv0,Logistic Regression,middle_late,"{""C"": 1.0, ""class_weight"": null}",0.6265060240963856,0.6623376623376623,0.5862068965517241,0.6219512195121951,0.6957660410301177,0.704225352112676,0.7058823529411765,0.6857142857142857,0.6956521739130435,0.7158730158730159,50,71
0,earlyv0,Linear SVM,middle_late,"{""C"": 1.0, ""class_weight"": null}",0.6144578313253012,0.6825396825396826,0.4942528735632184,0.5733333333333334,0.6535719482031136,0.704225352112676,0.7916666666666666,0.5428571428571428,0.6440677966101694,0.7198412698412698,50,71
0,earlyv0,RBF SVM,middle_late,"{""C"": 1.0, ""class_weight"": null, ""gamma"": ""scale""}",0.7168674698795181,0.6851851851851852,0.8505747126436781,0.7589743589743589,0.8016877637130803,0.6197183098591549,0.6,0.6857142857142857,0.64,0.7253968253968254,44,71
0,earlyv0,Logistic Regression,middle_late_scale,"{""C"": 1.0, ""class_weight"": null}",0.6445783132530121,0.6707317073170732,0.632183908045977,0.650887573964497,0.6934380910810417,0.647887323943662,0.6388888888888888,0.6571428571428571,0.647887323943662,0.6801587301587302,46,71
0,earlyv0,Linear SVM,middle_late_scale,"{""C"": 1.0, ""class_weight"": null}",0.608433734939759,0.6486486486486487,0.5517241379310345,0.5962732919254659,0.6468790920995199,0.5774647887323944,0.7272727272727273,0.2285714285714285,0.3478260869565217,0.6642857142857144,41,71
0,earlyv0,RBF SVM,middle_late_scale,"{""C"": 1.0, ""class_weight"": null, ""gamma"": ""scale""}",0.7108433734939759,0.6822429906542056,0.8390804597701149,0.7525773195876289,0.7815364469663902,0.6056338028169014,0.5853658536585366,0.6857142857142857,0.631578947368421,0.7174603174603175,43,71
0,earlyv0,Logistic Regression,all,"{""C"": 1.0, ""class_weight"": null}",0.7108433734939759,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.784519132838644,0.676056338028169,0.6666666666666666,0.6857142857142857,0.676056338028169,0.7325396825396825,48,71
0,earlyv0,Linear SVM,all,"{""C"": 1.0, ""class_weight"": null}",0.6807228915662651,0.717948717948718,0.6436781609195402,0.6787878787878788,0.7437072602939035,0.6619718309859155,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.7246031746031747,47,71
0,earlyv0,RBF SVM,all,"{""C"": 1.0, ""class_weight"": null, ""gamma"": ""scale""}",0.7951807228915663,0.7476635514018691,0.9195402298850576,0.8247422680412371,0.8745089480576168,0.704225352112676,0.7058823529411765,0.6857142857142857,0.6956521739130435,0.7595238095238095,50,71
0,earlyv0,Logistic Regression,all_plus_interactions,"{""C"": 1.0, ""class_weight"": null}",0.7108433734939759,0.7142857142857143,0.7471264367816092,0.7303370786516854,0.7702604394005528,0.676056338028169,0.6764705882352942,0.6571428571428571,0.6666666666666666,0.7412698412698413,48,71
0,earlyv0,Linear SVM,all_plus_interactions,"{""C"": 1.0, ""class_weight"": null}",0.6807228915662651,0.6931818181818182,0.7011494252873564,0.6971428571428572,0.7327222464717008,0.6619718309859155,0.7894736842105263,0.4285714285714285,0.5555555555555556,0.7214285714285714,47,71
