model_name,group,feature_block,mechanism_consistent,best_params,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,mcc,log_loss,brier,tn,fp,fn,tp,threshold
middle_late__svc__poly2,two_stage_raw,middle_late,False,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7746478873239436,0.7757936507936507,0.8571428571428571,0.6944444444444444,0.7317073170731707,0.7894736842105263,0.8301587301587301,0.8374435207617005,0.5582734523912609,0.6371391211924077,0.1854751199027086,25,11,5,30,0.5
early_middle__svc__poly2,two_stage_raw,early_middle,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7626984126984127,0.9142857142857144,0.6111111111111112,0.6956521739130435,0.7901234567901234,0.8452380952380952,0.8418143899472214,0.5499507475280803,0.6377786911454875,0.1840466347810415,22,14,3,32,0.5
middle__svc__poly2,single_stage_middle_moderate,middle,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7626984126984127,0.9142857142857144,0.6111111111111112,0.6956521739130435,0.7901234567901234,0.8428571428571429,0.8538123562714098,0.5499507475280803,0.6429629117695574,0.1894929955350987,22,14,3,32,0.5
early_middle__svc__rbf,two_stage_raw,early_middle,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7623015873015873,0.8857142857142857,0.6388888888888888,0.7045454545454546,0.7848101265822784,0.8476190476190475,0.8587859230024537,0.540266409539481,0.519812740829357,0.1715894478455227,23,13,4,31,0.5
all__svc__rbf,three_stage_raw,all,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7623015873015873,0.8857142857142857,0.6388888888888888,0.7045454545454546,0.7848101265822784,0.8468253968253968,0.8573545968471233,0.540266409539481,0.5176062989294932,0.1710229416410804,23,13,4,31,0.5
all_plus_interactions__svc__rbf,three_stage_full_interaction,all_plus_interactions,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7623015873015873,0.8857142857142857,0.6388888888888888,0.7045454545454546,0.7848101265822784,0.8388888888888888,0.8340076419401722,0.540266409539481,0.5311814634564337,0.174872867886277,23,13,4,31,0.5
middle_late_scale__svc__poly2,sequential_scale,middle_late_scale,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7623015873015873,0.8857142857142857,0.6388888888888888,0.7045454545454546,0.7848101265822784,0.8317460317460317,0.8270418372093394,0.540266409539481,0.5765224229639344,0.1780399333603375,23,13,4,31,0.5
all_plus_interactions__lr__l2,three_stage_full_interaction,all_plus_interactions,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.7605633802816901,0.7619047619047619,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.7792207792207793,0.846031746031746,0.8310749761904316,0.532764181416351,0.600594852295449,0.1740509903505974,24,12,5,30,0.5
middle_late_scale__svc__poly3,sequential_scale,middle_late_scale,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7619047619047619,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.7792207792207793,0.8396825396825397,0.835559751382919,0.532764181416351,0.5483979070238877,0.1685444231903745,24,12,5,30,0.5
early_middle_scale__svc__sigmoid,sequential_scale,early_middle_scale,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7619047619047619,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.7792207792207793,0.8277777777777778,0.8230334919554151,0.532764181416351,0.6142996871288514,0.1855364479426218,24,12,5,30,0.5
middle_late_scale__lr__l2,sequential_scale,middle_late_scale,False,"{""clf__C"": 1.0, ""clf__class_weight"": null}",0.7605633802816901,0.7619047619047619,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.7792207792207793,0.8246031746031746,0.8117536587719413,0.532764181416351,0.7959336788048741,0.1996842724899461,24,12,5,30,0.5
all__svc__sigmoid,three_stage_raw,all,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7619047619047619,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.7792207792207793,0.8238095238095238,0.8230381777659795,0.532764181416351,0.6059611001500558,0.1860132857053344,24,12,5,30,0.5
stage_score_early_middle__lr__l2,stage_score_interaction,all,True,"{""base_C"": 0.1, ""class_weight"": ""balanced"", ""meta_C"": 0.1}",0.7605633802816901,0.7619047619047619,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.7792207792207793,0.8134920634920635,0.7908444531791392,0.532764181416351,0.5594210963427948,0.1796174794041067,24,12,5,30,0.5
middle_late__lr__l2,two_stage_raw,middle_late,False,"{""clf__C"": 1.0, ""clf__class_weight"": null}",0.7605633802816901,0.7615079365079365,0.8285714285714286,0.6944444444444444,0.725,0.7733333333333333,0.807142857142857,0.8162023938759184,0.5272168712098224,0.8537961612525593,0.2052343013155022,25,11,6,29,0.5
stage_score_three_stage__lr__l2,stage_score_interaction,all,True,"{""base_C"": 0.1, ""class_weight"": ""balanced"", ""meta_C"": 0.1}",0.7605633802816901,0.7615079365079365,0.8285714285714286,0.6944444444444444,0.725,0.7733333333333333,0.8031746031746032,0.7829838672292742,0.5272168712098224,0.5824957817493726,0.185172472366924,25,11,6,29,0.5
early_middle__mlp__small,performance_anchor,early_middle,False,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [16], ""clf__learning_rate_init"": 0.001}",0.7605633802816901,0.7611111111111111,0.8,0.7222222222222222,0.7368421052631579,0.7671232876712328,0.8563492063492063,0.8603348357403625,0.5234700668261904,0.4849889475115346,0.160057853537082,26,10,7,28,0.5
middle_late_scale__svc__linear,sequential_scale,middle_late_scale,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.7464788732394366,0.7488095238095238,0.9142857142857144,0.5833333333333334,0.6808510638297872,0.7804878048780488,0.8222222222222222,0.8111552495986867,0.5259297262952658,0.6308768841178221,0.1932215930115882,21,15,3,32,0.5
early_middle_scale__svc__rbf,sequential_scale,early_middle_scale,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",0.7464788732394366,0.7484126984126984,0.8857142857142857,0.6111111111111112,0.6888888888888889,0.775,0.8500000000000001,0.8631509460717116,0.5155800802553882,0.5227788821765201,0.1720418237746215,22,14,4,31,0.5
all_plus_interactions__lr__elasticnet,three_stage_full_interaction,all_plus_interactions,False,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.5}",0.7464788732394366,0.7484126984126984,0.8857142857142857,0.6111111111111112,0.6888888888888889,0.775,0.8277777777777777,0.8316062268800888,0.5155800802553882,0.6795410522055914,0.1994776740789773,22,14,4,31,0.5
all_plus_interactions__lr__l1,three_stage_full_interaction,all_plus_interactions,False,"{""clf__C"": 1.0, ""clf__class_weight"": null}",0.7464788732394366,0.7484126984126984,0.8857142857142857,0.6111111111111112,0.6888888888888889,0.775,0.8150793650793651,0.8037006434021459,0.5155800802553882,0.7537180517286742,0.2081941324792963,22,14,4,31,0.5
early_middle__lr__l1,two_stage_raw,early_middle,False,"{""clf__C"": 1.0, ""clf__class_weight"": null}",0.7464788732394366,0.7484126984126984,0.8857142857142857,0.6111111111111112,0.6888888888888889,0.775,0.8047619047619048,0.7929646643013093,0.5155800802553882,0.7952689774866679,0.2181484257404108,22,14,4,31,0.5
