model_name,group,feature_block,best_cv_score_grid,best_params
middle__svc__poly2,single_stage_middle_moderate,middle,0.8816993464052287,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
middle_late__svc__poly2,two_stage_raw,middle_late,0.8916815210932857,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
middle__svc__poly3,single_stage_middle_moderate,middle,0.861437908496732,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
middle_late__svc__poly3,two_stage_raw,middle_late,0.867498514557338,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
all_plus_interactions__lr__elasticnet,three_stage_full_interaction,all_plus_interactions,0.8816399286987522,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.5}"
middle__svc__linear,single_stage_middle_moderate,middle,0.8675579322638145,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
early_middle__svc__linear,two_stage_raw,early_middle,0.8795603089720735,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
early_middle_scale__svc__linear,sequential_scale,early_middle_scale,0.8837195484254307,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
middle_late_scale__svc__sigmoid,sequential_scale,middle_late_scale,0.8717171717171718,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
all_plus_interactions__lr__l1,three_stage_full_interaction,all_plus_interactions,0.8674985145573382,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
early_middle__lr__elasticnet,two_stage_raw,early_middle,0.8775995246583483,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.5}"
early_middle_scale__lr__elasticnet,sequential_scale,early_middle_scale,0.8755793226381461,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.5}"
early_middle_scale__svc__poly2,sequential_scale,early_middle_scale,0.8856209150326797,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
early_middle__svc__poly3,two_stage_raw,early_middle,0.86951871657754,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
middle_late_scale__svc__poly2,sequential_scale,middle_late_scale,0.8675579322638145,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
early_middle__lr__l1,two_stage_raw,early_middle,0.8594771241830065,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
middle__lr__l2,single_stage_middle_moderate,middle,0.8594771241830064,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
early_middle__lr__l2,two_stage_raw,early_middle,0.8715983363042186,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
middle_late__lr__l2,two_stage_raw,middle_late,0.8635175282234104,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
all__lr__l2,three_stage_raw,all,0.8776589423648247,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
early_middle_scale__lr__l2,sequential_scale,early_middle_scale,0.8736185383244206,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}"
middle_late_scale__lr__l1,sequential_scale,middle_late_scale,0.8614973262032085,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
middle_late__lr__elasticnet,two_stage_raw,middle_late,0.8735591206179442,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.5}"
middle_late_scale__lr__l2,sequential_scale,middle_late_scale,0.8756387403446227,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
stage_score_middle_late__lr__l2,stage_score_interaction,all,0.8674985145573381,"{""base_C"": 0.1, ""class_weight"": null, ""meta_C"": 1.0}"
middle__lr__elasticnet,single_stage_middle_moderate,middle,0.8754010695187164,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.75}"
middle_late_scale__lr__elasticnet,sequential_scale,middle_late_scale,0.8836007130124778,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.5}"
all_plus_interactions__lr__l2,three_stage_full_interaction,all_plus_interactions,0.8695187165775401,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
all__svc__sigmoid,three_stage_raw,all,0.8755793226381462,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
middle_late_scale__svc__poly3,sequential_scale,middle_late_scale,0.863576945929887,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
mlp_svc_late_calibrated__lr__l2,performance_corrected,all,0.8795603089720736,"{""class_weight"": ""balanced"", ""late_C"": 1.0, ""meta_C"": 0.1}"
early_middle__svc__sigmoid,two_stage_raw,early_middle,0.8676767676767677,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
middle_late__svc__linear,two_stage_raw,middle_late,0.8815210932857991,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
all__svc__poly2,three_stage_raw,all,0.883541295306001,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
early_middle_scale__svc__poly3,sequential_scale,early_middle_scale,0.8754604872251931,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
all_plus_interactions__svc__linear,three_stage_full_interaction,all_plus_interactions,0.8775995246583481,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
all__svc__linear,three_stage_raw,all,0.8795603089720735,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
all__svc__poly3,three_stage_raw,all,0.8695781342840164,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
middle_late_scale__svc__linear,sequential_scale,middle_late_scale,0.8775401069518716,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
early_middle_scale__lr__l1,sequential_scale,early_middle_scale,0.8614973262032085,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
middle__lr__l1,single_stage_middle_moderate,middle,0.8593582887700534,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}"
middle_late__lr__l1,two_stage_raw,middle_late,0.855377302436126,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
early_middle_scale__svc__sigmoid,sequential_scale,early_middle_scale,0.8695781342840168,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
middle__svc__sigmoid,single_stage_middle_moderate,middle,0.8656565656565655,"{""clf__C"": 3.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
early_middle__svc__poly2,two_stage_raw,early_middle,0.8896019013666071,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
all__lr__l1,three_stage_raw,all,0.861437908496732,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}"
all__lr__elasticnet,three_stage_raw,all,0.8775401069518716,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.25}"
all_plus_interactions__svc__poly2,three_stage_full_interaction,all_plus_interactions,0.8655377302436127,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
all_plus_interactions__svc__sigmoid,three_stage_full_interaction,all_plus_interactions,0.8616161616161615,"{""clf__C"": 3.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
all_plus_interactions__svc__poly3,three_stage_full_interaction,all_plus_interactions,0.855377302436126,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
early_middle__svc__rbf,two_stage_raw,early_middle,0.8454545454545455,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
middle_late__svc__sigmoid,two_stage_raw,middle_late,0.8636363636363635,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
all__svc__rbf,three_stage_raw,all,0.8474747474747474,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
stage_score_three_stage__lr__l2,stage_score_interaction,all,0.8695781342840166,"{""base_C"": 0.1, ""class_weight"": ""balanced"", ""meta_C"": 0.1}"
stage_score_early_middle__lr__l2,stage_score_interaction,all,0.8675579322638146,"{""base_C"": 0.1, ""class_weight"": ""balanced"", ""meta_C"": 0.1}"
early_middle_scale__svc__rbf,sequential_scale,early_middle_scale,0.84349376114082,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
middle__svc__rbf,single_stage_middle_moderate,middle,0.8415329768270946,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
middle_late_scale__svc__rbf,sequential_scale,middle_late_scale,0.847534165181224,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
middle_late__svc__rbf,two_stage_raw,middle_late,0.8496137849079025,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
all_plus_interactions__svc__rbf,three_stage_full_interaction,all_plus_interactions,0.8434343434343433,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
