model_name,group,feature_block,best_cv_score_grid,best_params
sequential_interactions__lr__elasticnet,sequential_scale,sequential_interactions,0.7812240047534165,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.25}"
sequential_interactions__lr__l2,sequential_scale,sequential_interactions,0.7934046345811051,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
early__lr__l2,single_stage_early_mild,early,0.7569221628045157,"{""clf__C"": 0.03, ""clf__class_weight"": ""balanced""}"
early_middle__mlp__small,performance_anchor,early_middle,0.7635769459298871,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [16], ""clf__learning_rate_init"": 0.001}"
early__svc__rbf,single_stage_early_mild,early,0.7670825906120022,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
early_late__svc__sigmoid,two_stage_raw,early_late,0.7729649435531788,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
early__svc__poly2,single_stage_early_mild,early,0.7729055258467025,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
sequential_interactions__lr__l1,sequential_scale,sequential_interactions,0.7572786690433749,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
stage_score_early_late__lr__l2,stage_score_interaction,all,0.7590017825311943,"{""base_C"": 0.03, ""class_weight"": ""balanced"", ""meta_C"": 0.1}"
early__lr__l1,single_stage_early_mild,early,0.7569221628045159,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
early__lr__elasticnet,single_stage_early_mild,early,0.7689245395127746,"{""clf__C"": 0.03, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.25}"
early_late__lr__elasticnet,two_stage_raw,early_late,0.7689245395127746,"{""clf__C"": 0.03, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.25}"
early__svc__poly3,single_stage_early_mild,early,0.7708853238265002,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
early__svc__sigmoid,single_stage_early_mild,early,0.7731431966726083,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
early__svc__linear,single_stage_early_mild,early,0.7427807486631015,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
early_late__svc__rbf,two_stage_raw,early_late,0.7689245395127747,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
early_late__svc__poly2,two_stage_raw,early_late,0.7708853238265002,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
early_late__lr__l2,two_stage_raw,early_late,0.7508615567439096,"{""clf__C"": 0.03, ""clf__class_weight"": null}"
early_late__lr__l1,two_stage_raw,early_late,0.7469399881164587,"{""clf__C"": 0.03, ""clf__class_weight"": null}"
early_late__svc__poly3,two_stage_raw,early_late,0.7708853238265003,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
sequential_interactions__svc__poly2,sequential_scale,sequential_interactions,0.6932263814616756,"{""clf__C"": 3.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
sequential_interactions__svc__linear,sequential_scale,sequential_interactions,0.7431372549019607,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
early_late__svc__linear,two_stage_raw,early_late,0.7367795603089721,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
sequential_interactions__svc__poly3,sequential_scale,sequential_interactions,0.7054664289958408,"{""clf__C"": 3.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
sequential_interactions__svc__sigmoid,sequential_scale,sequential_interactions,0.6563874034462269,"{""clf__C"": 3.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
sequential_interactions__svc__rbf,sequential_scale,sequential_interactions,0.6851455733808675,"{""clf__C"": 3.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
stage_activation_summary__svc__poly3,interaction_summary_only,stage_activation_summary,0.6187165775401071,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
stage_activation_summary__svc__poly2,interaction_summary_only,stage_activation_summary,0.616577540106952,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
stage_activation_summary__svc__rbf,interaction_summary_only,stage_activation_summary,0.6106951871657755,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
late__svc__linear,single_stage_late_severe,late,0.5481877599524658,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
late__svc__poly3,single_stage_late_severe,late,0.6019607843137256,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
stage_activation_summary__lr__elasticnet,interaction_summary_only,stage_activation_summary,0.596613190730838,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.5}"
late__svc__poly2,single_stage_late_severe,late,0.5960784313725491,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
stage_activation_summary__lr__l1,interaction_summary_only,stage_activation_summary,0.5926916221033868,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
stage_activation_summary__svc__linear,interaction_summary_only,stage_activation_summary,0.5827094474153298,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
late__svc__rbf,single_stage_late_severe,late,0.6039809863339277,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
late__lr__elasticnet,single_stage_late_severe,late,0.5818181818181819,"{""clf__C"": 0.03, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.25}"
stage_activation_summary__lr__l2,interaction_summary_only,stage_activation_summary,0.5906120023767083,"{""clf__C"": 0.03, ""clf__class_weight"": null}"
stage_activation_summary__svc__sigmoid,interaction_summary_only,stage_activation_summary,0.6039809863339276,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
late__lr__l2,single_stage_late_severe,late,0.5463458110516934,"{""clf__C"": 0.03, ""clf__class_weight"": null}"
late__lr__l1,single_stage_late_severe,late,0.5362448009506834,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
late__svc__sigmoid,single_stage_late_severe,late,0.5463458110516934,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
