model_name,metric,bootstrap_mean,ci_low,ci_high,n_boot
middle__svc__linear,specificity,0.49263888888888885,0.36041666666666666,0.6666666666666666,200
middle__svc__linear,f1,0.7205154293552676,0.6171459694989107,0.8001219512195122,200
middle__svc__linear,roc_auc,0.7983968253968254,0.6989285714285713,0.8849404761904761,200
middle__svc__linear,pr_auc,0.8167539969965069,0.7131547757832362,0.8967606461604556,200
middle__svc__linear,mcc,0.3762972232096302,0.1337265147134572,0.5840553408514432,200
middle__svc__poly2,accuracy,0.7591549295774648,0.6616197183098592,0.8450704225352113,200
middle__svc__poly2,balanced_accuracy,0.761313492063492,0.6639285714285715,0.8468353174603175,200
middle__svc__poly2,sensitivity,0.9145714285714286,0.8,1.0,200
middle__svc__poly2,specificity,0.6080555555555555,0.4444444444444444,0.7506944444444446,200
middle__svc__poly2,f1,0.7897803889054924,0.7069180969587473,0.8608454446007189,200
middle__svc__poly2,roc_auc,0.8406428571428571,0.7441666666666666,0.9206547619047618,200
middle__svc__poly2,pr_auc,0.8545102044090683,0.7536598139967928,0.9263528282295581,200
middle__svc__poly2,mcc,0.54956762378305,0.3464334942500606,0.7145846450352489,200
middle__svc__poly3,accuracy,0.7983098591549296,0.704225352112676,0.8873239436619719,200
middle__svc__poly3,balanced_accuracy,0.7995396825396826,0.7051587301587301,0.8869146825396825,200
middle__svc__poly3,sensitivity,0.8868571428571431,0.7714285714285715,0.9714285714285714,200
middle__svc__poly3,specificity,0.7122222222222221,0.5833333333333334,0.8618055555555557,200
middle__svc__poly3,f1,0.8129815684413493,0.72,0.8857233273056058,200
middle__svc__poly3,roc_auc,0.8476388888888888,0.7507539682539682,0.9278373015873015,200
middle__svc__poly3,pr_auc,0.8580415823466879,0.7656536546230523,0.9266606887027912,200
middle__svc__poly3,mcc,0.6098080190578732,0.4136132358353235,0.7746295585798709,200
middle__svc__rbf,accuracy,0.7814084507042254,0.676056338028169,0.8591549295774648,200
middle__svc__rbf,balanced_accuracy,0.7828511904761905,0.678154761904762,0.8607142857142858,200
middle__svc__rbf,sensitivity,0.8852857142857143,0.7714285714285715,0.9714285714285714,200
middle__svc__rbf,specificity,0.6804166666666667,0.5277777777777778,0.8333333333333334,200
middle__svc__rbf,f1,0.7999420981726608,0.7041521858423266,0.8717948717948718,200
middle__svc__rbf,roc_auc,0.8426230158730158,0.7246031746031747,0.9238293650793651,200
middle__svc__rbf,pr_auc,0.8606480114324867,0.7639949671076933,0.9325235341697253,200
middle__svc__rbf,mcc,0.579369303161982,0.3726984434425077,0.7380153030698339,200
middle__svc__sigmoid,accuracy,0.7056338028169015,0.6056338028169014,0.8031690140845071,200
middle__svc__sigmoid,balanced_accuracy,0.7081170634920635,0.6087103174603176,0.8054761904761906,200
middle__svc__sigmoid,sensitivity,0.8844285714285715,0.7428571428571429,0.9714285714285714,200
middle__svc__sigmoid,specificity,0.5318055555555555,0.3888888888888889,0.6944444444444444,200
middle__svc__sigmoid,f1,0.7478294246058199,0.6580221518987341,0.8292682926829268,200
middle__svc__sigmoid,roc_auc,0.7646468253968254,0.659781746031746,0.8659325396825397,200
middle__svc__sigmoid,pr_auc,0.7519629496392284,0.6360847101108765,0.8635258050220725,200
middle__svc__sigmoid,mcc,0.44575069643855864,0.2413551522824144,0.6450398078485796,200
late__lr__l2,accuracy,0.5423239436619718,0.43661971830985913,0.6338028169014085,200
late__lr__l2,balanced_accuracy,0.5383492063492064,0.43214285714285716,0.6301686507936508,200
late__lr__l2,sensitivity,0.2561428571428571,0.14214285714285715,0.4,200
late__lr__l2,specificity,0.8205555555555556,0.6944444444444444,0.9444444444444444,200
late__lr__l2,f1,0.35195127520042563,0.1960545193687231,0.5172733077905493,200
late__lr__l2,roc_auc,0.5604345238095237,0.4387896825396826,0.696140873015873,200
late__lr__l2,pr_auc,0.5371793103139283,0.4594899316319098,0.635793893668739,200
late__lr__l2,mcc,0.09431863514231957,-0.17543860480112727,0.30731104656592667,200
late__lr__l1,accuracy,0.5283802816901408,0.43661971830985913,0.6197183098591549,200
late__lr__l1,balanced_accuracy,0.5242063492063492,0.43173611111111115,0.6159027777777778,200
late__lr__l1,sensitivity,0.22785714285714287,0.11428571428571428,0.37142857142857144,200
late__lr__l1,specificity,0.8205555555555556,0.6944444444444444,0.9444444444444444,200
late__lr__l1,f1,0.31837043979258284,0.16318367346938775,0.472946127946128,200
late__lr__l1,roc_auc,0.5673869047619048,0.44631944444444455,0.6883333333333335,200
late__lr__l1,pr_auc,0.5350544149437962,0.4637276063783831,0.627486441444654,200
late__lr__l1,mcc,0.06075230512741728,-0.18876456502755248,0.29020592217353186,200
late__lr__elasticnet,accuracy,0.535281690140845,0.4507042253521127,0.6341549295774649,200
