model_name,severity_group,n,accuracy,mean_p_ad,false_positive,false_negative
early__lr__elasticnet,early,6,0.5,0.561445153513364,0,3
early__lr__elasticnet,late,7,1.0,0.7016099388513376,0,0
early__lr__elasticnet,middle,14,0.7857142857142857,0.5943025671481034,0,3
early__lr__l1,AD_high_MMSE,8,0.5,0.4823832527239633,0,4
early__lr__l1,control,36,0.6944444444444444,0.36299208822646734,11,0
early__lr__l1,early,6,0.6666666666666666,0.6462048828444179,0,2
early__lr__l1,late,7,0.8571428571428571,0.797071554198081,0,1
early__lr__l1,middle,14,0.7142857142857143,0.6560406320338376,0,4
early__lr__l2,AD_high_MMSE,8,0.625,0.5273559938865383,0,3
early__lr__l2,control,36,0.6944444444444444,0.3753862719460771,11,0
early__lr__l2,early,6,0.6666666666666666,0.5477192826325136,0,2
early__lr__l2,late,7,1.0,0.7545136315820681,0,0
early__lr__l2,middle,14,0.6428571428571429,0.603163229130337,0,5
early__svc__linear,AD_high_MMSE,8,0.625,0.5298918021363352,0,3
early__svc__linear,control,36,0.5555555555555556,0.44311973095474305,16,0
early__svc__linear,early,6,0.8333333333333334,0.6382933139267204,0,1
early__svc__linear,late,7,1.0,0.7233886151189457,0,0
early__svc__linear,middle,14,0.7857142857142857,0.6217454564754146,0,3
early__svc__poly2,AD_high_MMSE,8,0.625,0.5964568189613514,0,3
early__svc__poly2,control,36,0.6388888888888888,0.3973011729310925,13,0
early__svc__poly2,early,6,0.6666666666666666,0.5589076603575559,0,2
early__svc__poly2,late,7,1.0,0.7854195636772328,0,0
early__svc__poly2,middle,14,0.9285714285714286,0.638320146152293,0,1
early__svc__poly3,AD_high_MMSE,8,0.75,0.5932258162358538,0,2
early__svc__poly3,control,36,0.5833333333333334,0.38132364842403255,15,0
early__svc__poly3,early,6,0.6666666666666666,0.559572330523917,0,2
early__svc__poly3,late,7,1.0,0.785807787829792,0,0
early__svc__poly3,middle,14,0.8571428571428571,0.6459980158350243,0,2
early__svc__rbf,AD_high_MMSE,8,0.75,0.6169645110321778,0,2
early__svc__rbf,control,36,0.6388888888888888,0.38532289688013877,13,0
early__svc__rbf,early,6,0.6666666666666666,0.5746987273181007,0,2
early__svc__rbf,late,7,0.8571428571428571,0.8121431527362671,0,1
early__svc__rbf,middle,14,0.8571428571428571,0.6460668601627064,0,2
early__svc__sigmoid,AD_high_MMSE,8,0.625,0.567370859500891,0,3
early__svc__sigmoid,control,36,0.6666666666666666,0.41550181950245524,12,0
early__svc__sigmoid,early,6,0.6666666666666666,0.5827625119249843,0,2
early__svc__sigmoid,late,7,1.0,0.7637046387902178,0,0
early__svc__sigmoid,middle,14,0.8571428571428571,0.6456767550521777,0,2
early_late__lr__elasticnet,AD_high_MMSE,8,0.625,0.556894778739779,0,3
early_late__lr__elasticnet,control,36,0.6388888888888888,0.44009373561066095,13,0
early_late__lr__elasticnet,early,6,0.5,0.5614450470628343,0,3
early_late__lr__elasticnet,late,7,1.0,0.7016105574207131,0,0
early_late__lr__elasticnet,middle,14,0.7857142857142857,0.5943029767269513,0,3
early_late__lr__l1,AD_high_MMSE,8,0.5,0.5053378790742962,0,4
early_late__lr__l1,control,36,0.5833333333333334,0.4751501190094927,15,0
early_late__lr__l1,early,6,0.5,0.5095826993719864,0,3
early_late__lr__l1,late,7,0.7142857142857143,0.5402603151947163,0,2
early_late__lr__l1,middle,14,0.5,0.5085206224911817,0,7
early_late__lr__l2,AD_high_MMSE,8,0.625,0.5447553912378664,0,3
early_late__lr__l2,control,36,0.6666666666666666,0.3837316609409449,12,0
early_late__lr__l2,early,6,0.6666666666666666,0.5592149933306452,0,2
early_late__lr__l2,late,7,1.0,0.7641557667258047,0,0
early_late__lr__l2,middle,14,0.7142857142857143,0.6147828342542405,0,4
early_late__svc__linear,AD_high_MMSE,8,0.625,0.524455143156502,0,3
early_late__svc__linear,control,36,0.5555555555555556,0.4409332140751144,16,0
early_late__svc__linear,early,6,0.8333333333333334,0.6348607183748042,0,1
early_late__svc__linear,late,7,1.0,0.7190477203146362,0,0
early_late__svc__linear,middle,14,0.7857142857142857,0.6194237767211754,0,3
early_late__svc__poly2,AD_high_MMSE,8,0.625,0.5557932688931132,0,3
early_late__svc__poly2,control,36,0.6111111111111112,0.37581078880596297,14,0
early_late__svc__poly2,early,6,0.6666666666666666,0.5499905363556026,0,2
early_late__svc__poly2,late,7,1.0,0.781751672511579,0,0
early_late__svc__poly2,middle,14,0.8571428571428571,0.6128887765725283,0,2
early_late__svc__poly3,AD_high_MMSE,8,0.625,0.5832137212318564,0,3
early_late__svc__poly3,control,36,0.6111111111111112,0.37599718603577903,14,0
early_late__svc__poly3,early,6,0.6666666666666666,0.5656326358035565,0,2
early_late__svc__poly3,late,7,1.0,0.7877899994097586,0,0
early_late__svc__poly3,middle,14,0.9285714285714286,0.6243460081501079,0,1
early_late__svc__rbf,AD_high_MMSE,8,0.625,0.6062183539625445,0,3
early_late__svc__rbf,control,36,0.6944444444444444,0.3718072231676161,11,0
early_late__svc__rbf,early,6,0.6666666666666666,0.582797026425378,0,2
early_late__svc__rbf,late,7,0.8571428571428571,0.8215054735813622,0,1
early_late__svc__rbf,middle,14,0.7857142857142857,0.6109693365924382,0,3
early_late__svc__sigmoid,AD_high_MMSE,8,0.625,0.5552594360711371,0,3
early_late__svc__sigmoid,control,36,0.6666666666666666,0.4090214773968005,12,0
early_late__svc__sigmoid,early,6,0.6666666666666666,0.5781129957199779,0,2
early_late__svc__sigmoid,late,7,1.0,0.7526862901205675,0,0
early_late__svc__sigmoid,middle,14,0.8571428571428571,0.6297494242343401,0,2
early_middle__lr__elasticnet,AD_high_MMSE,8,0.75,0.7885138521443505,0,2
early_middle__lr__elasticnet,control,36,0.6111111111111112,0.4216813221875604,14,0
early_middle__lr__elasticnet,early,6,0.8333333333333334,0.8107463252907007,0,1
early_middle__lr__elasticnet,late,7,1.0,0.9623055222561484,0,0
early_middle__lr__elasticnet,middle,14,0.8571428571428571,0.8047413586431104,0,2
early_middle__lr__l1,AD_high_MMSE,8,0.875,0.8502822528244037,0,1
early_middle__lr__l1,control,36,0.6111111111111112,0.4284555792114528,14,0
early_middle__lr__l1,early,6,0.8333333333333334,0.7885494914138539,0,1
early_middle__lr__l1,late,7,1.0,0.9659440771386889,0,0
early_middle__lr__l1,middle,14,0.8571428571428571,0.7792148612271497,0,2
early_middle__lr__l2,AD_high_MMSE,8,0.875,0.8333648668077046,0,1
early_middle__lr__l2,control,36,0.6666666666666666,0.38238615135499576,12,0
early_middle__lr__l2,early,6,0.8333333333333334,0.8256317513331384,0,1
early_middle__lr__l2,late,7,1.0,0.9348723140477299,0,0
early_middle__lr__l2,middle,14,0.9285714285714286,0.8040144843467262,0,1
early_middle__mlp__small,AD_high_MMSE,8,0.75,0.7205312106745198,0,2
early_middle__mlp__small,control,36,0.7222222222222222,0.3484699285977635,10,0
early_middle__mlp__small,early,6,0.6666666666666666,0.6738653982922606,0,2
early_middle__mlp__small,late,7,0.8571428571428571,0.860820130928813,0,1
early_middle__mlp__small,middle,14,0.8571428571428571,0.754336021440675,0,2
early_middle__svc__linear,AD_high_MMSE,8,0.875,0.8549719433288935,0,1
early_middle__svc__linear,control,36,0.5833333333333334,0.4582529628278517,15,0
early_middle__svc__linear,early,6,0.8333333333333334,0.8100557099887787,0,1
early_middle__svc__linear,late,7,1.0,0.948560032304538,0,0
early_middle__svc__linear,middle,14,0.8571428571428571,0.7809798117985703,0,2
early_middle__svc__poly2,AD_high_MMSE,8,0.875,0.846182812287386,0,1
early_middle__svc__poly2,control,36,0.6111111111111112,0.41675970735608486,14,0
early_middle__svc__poly2,early,6,0.8333333333333334,0.797617892111716,0,1
early_middle__svc__poly2,late,7,1.0,0.9424083997883619,0,0
early_middle__svc__poly2,middle,14,0.9285714285714286,0.8160471957639366,0,1
early_middle__svc__poly3,AD_high_MMSE,8,1.0,0.8262630376870056,0,0
early_middle__svc__poly3,control,36,0.75,0.39575077518197566,9,0
early_middle__svc__poly3,early,6,0.8333333333333334,0.7626609065635036,0,1
early_middle__svc__poly3,late,7,1.0,0.9304524430070594,0,0
early_middle__svc__poly3,middle,14,0.9285714285714286,0.8186430405177741,0,1
early_middle__svc__rbf,AD_high_MMSE,8,0.875,0.790189556413535,0,1
early_middle__svc__rbf,control,36,0.6388888888888888,0.40006148599907815,13,0
early_middle__svc__rbf,early,6,0.8333333333333334,0.7263821674041114,0,1
early_middle__svc__rbf,late,7,1.0,0.9275971397611313,0,0
early_middle__svc__rbf,middle,14,0.8571428571428571,0.7779694097339936,0,2
early_middle__svc__sigmoid,AD_high_MMSE,8,0.875,0.8095931974346958,0,1
early_middle__svc__sigmoid,control,36,0.6388888888888888,0.42502290242112933,13,0
early_middle__svc__sigmoid,early,6,0.8333333333333334,0.7988461057778715,0,1
