model_name,group,feature_block,mechanism_consistent,best_cv_score_grid,best_params,fit_seconds,cv_accuracy,cv_balanced_accuracy,cv_sensitivity,cv_specificity,cv_precision,cv_f1,cv_roc_auc,cv_pr_auc,cv_mcc,cv_log_loss,cv_brier,cv_tn,cv_fp,cv_fn,cv_tp,cv_threshold,cv_repeated_oof_available
middle_late_scale__svc__poly2,sequential_scale,middle_late_scale,False,0.8675579322638145,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",3.6594340801239014,0.8855421686746988,0.8849847228284592,0.896551724137931,0.8734177215189873,0.8863636363636364,0.8914285714285715,0.9512585479412192,0.9598760236995478,0.7704740679583775,0.2964526265686847,0.09215614303378886,69,10,9,78,0.5,True
early_middle__lr__l1,two_stage_raw,early_middle,False,0.8594771241830065,"{""clf__C"": 1.0, ""clf__class_weight"": null}",1.0870771408081055,0.8795180722891566,0.8827295213152917,0.8160919540229885,0.9493670886075949,0.9466666666666667,0.8765432098765432,0.9452931761967118,0.9560899775458156,0.7681460506044845,0.3061668254478062,0.09131556400623231,75,4,16,71,0.5,True
middle__lr__l2,single_stage_middle_moderate,middle,False,0.8594771241830064,"{""clf__C"": 0.1, ""clf__class_weight"": null}",1.2906298637390137,0.8795180722891566,0.8821475338280227,0.8275862068965517,0.9367088607594937,0.935064935064935,0.8780487804878049,0.9569329259420922,0.9646561083543641,0.7654095259144624,0.2834728051201884,0.08991399130423411,74,5,15,72,0.5,True
early_middle__lr__l2,two_stage_raw,early_middle,False,0.8715983363042186,"{""clf__C"": 1.0, ""clf__class_weight"": null}",1.34328293800354,0.8795180722891566,0.8821475338280227,0.8275862068965517,0.9367088607594937,0.935064935064935,0.8780487804878049,0.9637712789175032,0.9701493008831393,0.7654095259144624,0.2515649916338705,0.08242764610354544,74,5,15,72,0.5,True
middle_late__lr__l2,two_stage_raw,middle_late,False,0.8635175282234104,"{""clf__C"": 1.0, ""clf__class_weight"": null}",1.3217167854309082,0.8795180722891566,0.8821475338280227,0.8275862068965517,0.9367088607594937,0.935064935064935,0.8780487804878049,0.957369416557544,0.9655045258105664,0.7654095259144624,0.2860271826844179,0.0875351781987324,74,5,15,72,0.5,True
all__lr__l2,three_stage_raw,all,False,0.8776589423648247,"{""clf__C"": 1.0, ""clf__class_weight"": null}",1.2274348735809326,0.8795180722891566,0.8821475338280227,0.8275862068965517,0.9367088607594937,0.935064935064935,0.8780487804878049,0.9642077695329551,0.970573304180373,0.7654095259144624,0.253274418516307,0.08216605847327567,74,5,15,72,0.5,True
early_middle_scale__lr__l2,sequential_scale,early_middle_scale,False,0.8736185383244206,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}",1.3856396675109863,0.8795180722891566,0.8821475338280227,0.8275862068965517,0.9367088607594937,0.935064935064935,0.8780487804878049,0.9650807507638586,0.9710963168138173,0.7654095259144624,0.25118413825927344,0.08229774798266973,74,5,15,72,0.5,True
middle_late_scale__lr__l1,sequential_scale,middle_late_scale,False,0.8614973262032085,"{""clf__C"": 1.0, ""clf__class_weight"": null}",2.144275426864624,0.8795180722891566,0.8821475338280227,0.8275862068965517,0.9367088607594937,0.935064935064935,0.8780487804878049,0.9402007856831077,0.9560688742045073,0.7654095259144624,0.3356166323491089,0.095012297747795,74,5,15,72,0.5,True
middle_late__lr__elasticnet,two_stage_raw,middle_late,False,0.8735591206179442,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.5}",108.95789885520935,0.8795180722891566,0.8809835588534847,0.8505747126436781,0.9113924050632911,0.9135802469135802,0.8809523809523809,0.9519860323003055,0.963455352687465,0.761302804487646,0.28393337072710906,0.08538355275483059,72,7,13,74,0.5,True
middle_late_scale__lr__l2,sequential_scale,middle_late_scale,False,0.8756387403446227,"{""clf__C"": 1.0, ""clf__class_weight"": null}",2.9694721698760986,0.8795180722891566,0.8809835588534847,0.8505747126436781,0.9113924050632911,0.9135802469135802,0.8809523809523809,0.9525680197875745,0.9616809548863513,0.761302804487646,0.30146734840272854,0.09191538629552151,72,7,13,74,0.5,True
