model_name,cv_accuracy,cv_balanced_accuracy,cv_f1,cv_roc_auc,cv_pr_auc,best_cv_score_grid,external_accuracy,external_balanced_accuracy,external_f1,external_roc_auc,external_pr_auc,accuracy_gap,balanced_accuracy_gap,roc_auc_gap
all_plus_interactions__svc__linear,0.8795180722891566,0.8792375963916776,0.8850574712643678,0.9612978320966099,0.9669442921431108,0.8775995246583481,0.7746478873239436,0.7765873015873015,0.8,0.834920634920635,0.8253714055440938,0.10487018496521294,0.10265029480437615,0.12637719717597495
early_middle_scale__svc__rbf,0.8493975903614458,0.8487560017459624,0.8571428571428571,0.9365633638876765,0.9425450317435139,0.84349376114082,0.7464788732394366,0.7484126984126984,0.775,0.8500000000000001,0.8631509460717116,0.10291871712200917,0.10034330333326402,0.08656336388767638
middle_late_scale__svc__rbf,0.8493975903614458,0.8475920267714244,0.8603351955307262,0.9176487705514331,0.9208187547225924,0.847534165181224,0.7464788732394366,0.748015873015873,0.7692307692307693,0.8277777777777776,0.8232921994326204,0.10291871712200917,0.0995761537555514,0.08987099277365551
early_middle__svc__rbf,0.8614457831325302,0.8608322421067947,0.8685714285714285,0.9386003200931179,0.945162711705308,0.8454545454545455,0.7605633802816901,0.7623015873015873,0.7848101265822784,0.8476190476190475,0.8587859230024537,0.10088240285084005,0.0985306548052074,0.0909812724740704
all__svc__rbf,0.8614457831325302,0.8608322421067947,0.8685714285714285,0.938600320093118,0.9451638729703374,0.8474747474747474,0.7605633802816901,0.7623015873015873,0.7848101265822784,0.8468253968253968,0.8573545968471233,0.10088240285084005,0.0985306548052074,0.09177492326772119
stage_score_three_stage__lr__l2,0.8554216867469879,0.8585770405936273,0.8518518518518519,0.9528590135312092,0.9622253272646415,0.8695781342840166,0.7605633802816901,0.7615079365079365,0.7733333333333333,0.8031746031746032,0.7829838672292742,0.0948583064652978,0.0970691040856908,0.14968441035660596
stage_score_early_middle__lr__l2,0.8554216867469879,0.8579950531063583,0.8536585365853658,0.9516950385566711,0.9613511852862044,0.8675579322638146,0.7605633802816901,0.7619047619047619,0.7792207792207793,0.8134920634920635,0.7908444531791392,0.0948583064652978,0.0960902912015964,0.13820297506460766
middle__svc__poly3,0.8975903614457831,0.8970609631892914,0.9028571428571428,0.9506765604539503,0.9591520788388428,0.861437908496732,0.8028169014084507,0.803968253968254,0.8157894736842105,0.85,0.857225075537433,0.09477346003733234,0.0930927092210374,0.10067656045395035
late__svc__linear,0.6265060240963856,0.615160774043358,0.7047619047619048,0.633929870507784,0.6069807715352145,0.5481877599524658,0.5352112676056338,0.5392857142857144,0.6373626373626373,0.5634920634920635,0.5313251273598943,0.0912947564907518,0.07587505975764364,0.07043780701572055
early_middle__lr__l2,0.8795180722891566,0.8821475338280227,0.8780487804878049,0.9637712789175032,0.9701493008831393,0.8715983363042186,0.7887323943661971,0.7904761904761904,0.810126582278481,0.8246031746031746,0.8228622777633782,0.09078567792295944,0.09167134335183225,0.1391681043143287
sequential_interactions__lr__l2,0.7771084337349398,0.7780445220427761,0.7810650887573964,0.8580678015422668,0.8329002110532262,0.7934046345811051,0.6901408450704225,0.6900793650793651,0.6857142857142857,0.7642857142857142,0.7000706301434619,0.08696758866451726,0.087965156963411,0.09378208725655257
early__svc__linear,0.7590361445783133,0.75556525534701,0.782608695652174,0.7996508075076386,0.7255536981167778,0.7427807486631015,0.676056338028169,0.6777777777777778,0.7088607594936709,0.7690476190476191,0.7439805434343117,0.08297980655014425,0.07778747756923221,0.030603188460019526
all_plus_interactions__svc__poly2,0.8674698795180723,0.8677433435181143,0.872093023255814,0.9541684853775645,0.9605975501061959,0.8655377302436127,0.7887323943661971,0.7904761904761904,0.810126582278481,0.8444444444444444,0.8409362293484338,0.07873748515187518,0.07726715304192389,0.10972404093312005
all_plus_interactions__svc__rbf,0.8373493975903614,0.8349337989233232,0.850828729281768,0.9228866579368544,0.9299989156295658,0.8434343434343433,0.7605633802816901,0.7623015873015873,0.7848101265822784,0.8388888888888888,0.8340076419401722,0.0767860173086713,0.07263221162173594,0.08399776904796563
all__svc__poly3,0.8795180722891566,0.8786556089044086,0.8863636363636364,0.9575149134293612,0.9637592587503258,0.8695781342840164,0.8028169014084507,0.803968253968254,0.8157894736842105,0.85,0.8442105960527239,0.07670117088070583,0.07468735493615464,0.10751491342936126
stage_score_early_late__lr__l2,0.7650602409638554,0.7642223192201367,0.7771428571428571,0.8246762694602066,0.7431699818222864,0.7590017825311943,0.6901408450704225,0.6900793650793651,0.6857142857142857,0.7492063492063492,0.701328860352589,0.07491939589343288,0.07414295414077166,0.07546992025385735
early__lr__l1,0.7650602409638554,0.7630583442455987,0.7821229050279329,0.8123090353557398,0.7364365350619262,0.7569221628045159,0.6901408450704225,0.6900793650793651,0.6857142857142857,0.7476190476190476,0.7361479641172438,0.07491939589343288,0.07297897916623364,0.06468998773669221
early__lr__elasticnet,0.7650602409638554,0.7624763567583297,0.7845303867403315,0.8313691255638004,0.7620208397062751,0.7689245395127746,0.6901408450704225,0.6908730158730159,0.7027027027027027,0.734920634920635,0.6728821272185791,0.07491939589343288,0.07160334088531384,0.09644849064316541
early_late__lr__elasticnet,0.7650602409638554,0.7624763567583297,0.7845303867403315,0.8313691255638004,0.7620208397062751,0.7689245395127746,0.6901408450704225,0.6908730158730159,0.7027027027027027,0.734920634920635,0.6728821272185791,0.07491939589343288,0.07160334088531384,0.09644849064316541
early__lr__l2,0.7771084337349398,0.7757165720937,0.7909604519774012,0.8300596537174451,0.752019738074755,0.7569221628045157,0.704225352112676,0.7043650793650793,0.704225352112676,0.7595238095238095,0.7182570057556391,0.07288308162226376,0.07135149272862074,0.07053584419363557
late__svc__poly2,0.6024096385542169,0.5834424559871962,0.7203389830508474,0.5480139676996945,0.5680733496593104,0.5960784313725491,0.5352112676056338,0.5392857142857144,0.6373626373626373,0.5404761904761904,0.5102831348052966,0.06719837094858316,0.04415674170148187,0.007537777223504016
sequential_interactions__svc__poly3,0.7108433734939759,0.7119161938018332,0.7142857142857143,0.8150007274843591,0.8219979214207295,0.7054664289958408,0.647887323943662,0.6464285714285714,0.6031746031746031,0.6936507936507936,0.6392342756406468,0.06295604955031386,0.06548762237326189,0.12134993383356552
middle_late__svc__rbf,0.8373493975903614,0.8360977738978612,0.847457627118644,0.9324894514767933,0.9369477441338567,0.8496137849079025,0.7746478873239436,0.7761904761904761,0.7948717948717948,0.8468253968253967,0.8601143807523616,0.06270151026641779,0.05990729770738512,0.08566405465139659
stage_activation_summary__lr__l1,0.5963855421686747,0.6009748290411756,0.567741935483871,0.6280372471991853,0.6058001614320747,0.5926916221033868,0.5352112676056338,0.5349206349206349,0.5217391304347826,0.5325396825396825,0.5057081741913834,0.06117427456304092,0.0660541941205407,0.09549756465950276
stage_activation_summary__svc__linear,0.5963855421686747,0.5939909791939473,0.6256983240223464,0.6342936126873272,0.6136789909843119,0.5827094474153298,0.5352112676056338,0.5361111111111111,0.56,0.5436507936507936,0.5158372337675448,0.06117427456304092,0.05787986808283618,0.0906428190365336
early__svc__poly3,0.7650602409638554,0.7618943692710607,0.7868852459016393,0.8334060817692419,0.7572559854472718,0.7708853238265002,0.704225352112676,0.705952380952381,0.7341772151898734,0.7658730158730159,0.7240366435790658,0.06083488885117938,0.05594198831867969,0.06753306589622599
middle__svc__rbf,0.8493975903614458,0.8481740142586935,0.8587570621468926,0.9316164702458898,0.9359186228002591,0.8415329768270946,0.7887323943661971,0.790079365079365,0.8051948051948052,0.8476190476190476,0.8618114651492311,0.060665195995248666,0.058094649179328495,0.08399742262684218
stage_activation_summary__svc__sigmoid,0.5662650602409639,0.5658373344973082,0.5813953488372093,0.6140695475047286,0.6220787877658971,0.6039809863339276,0.5070422535211268,0.5071428571428571,0.5070422535211268,0.5428571428571429,0.5201637857275052,0.05922280671983715,0.0586944773544511,0.07121240464758571
late__svc__poly3,0.608433734939759,0.5891895824239779,0.7257383966244726,0.5292448712352684,0.5369985665576511,0.6019607843137256,0.5492957746478874,0.5535714285714286,0.6521739130434783,0.5563492063492063,0.5315210817917176,0.05913796029187168,0.035618153852549295,-0.02710433511393784
all_plus_interactions__svc__poly3,0.8614457831325302,0.8614142295940637,0.8670520231213873,0.9423832387603667,0.9513011230520041,0.855377302436126,0.8028169014084507,0.8043650793650794,0.8205128205128205,0.8412698412698413,0.8370074744571908,0.05862888172407943,0.05704915022898427,0.10111339749052539
sequential_interactions__svc__sigmoid,0.7048192771084337,0.6974392550560162,0.751269035532995,0.7416703040884621,0.7379879618913332,0.6563874034462269,0.647887323943662,0.6507936507936507,0.7058823529411765,0.7634920634920634,0.7435188038418098,0.05693195316477173,0.046645604262365525,-0.021821759403601315
late__lr__elasticnet,0.5903614457831325,0.571366215626364,0.711864406779661,0.5586352393423542,0.5671927152686868,0.5818181818181819,0.5352112676056338,0.5392857142857144,0.6373626373626373,0.578968253968254,0.556567033346914,0.05515017817749879,0.03208050134064966,-0.02033301462589987
early_late__svc__poly2,0.7590361445783133,0.754401280372472,0.7872340425531915,0.8367525098210389,0.766073736527503,0.7708853238265002,0.704225352112676,0.7055555555555556,0.7272727272727273,0.736904761904762,0.6901339802107077,0.05481079246563725,0.0488457248169164,0.09984774791627693
early__svc__rbf,0.7710843373493976,0.7688054706823804,0.7888888888888889,0.8326785974101556,0.7946710622599005,0.7670825906120022,0.7183098591549296,0.7194444444444444,0.7368421052631579,0.7698412698412698,0.7450738279352974,0.05277447819446801,0.04936102623793592,0.06283732756888583
stage_activation_summary__lr__l2,0.572289156626506,0.573912410883166,0.5696969696969697,0.6411319656627382,0.6155677297613071,0.5906120023767083,0.5211267605633803,0.5218253968253967,0.5405405405405406,0.5428571428571429,0.5058421579365882,0.05116239606312578,0.052087014057769276,0.0982748228055953
early_late__lr__l2,0.7530120481927711,0.7509821038847665,0.770949720670391,0.8291866724865415,0.7549277603075446,0.7508615567439096,0.704225352112676,0.7047619047619047,0.7123287671232876,0.7595238095238095,0.7208449925264319,0.048786696080095115,0.046220199122861794,0.06966286296273205
late__svc__rbf,0.5963855421686747,0.5771133420631457,0.7172995780590717,0.5247344682089335,0.5390568673504723,0.6039809863339277,0.5492957746478874,0.5535714285714286,0.6521739130434783,0.5126984126984127,0.5015418671598331,0.04708976752078731,0.02354191349171708,0.012036055510520893
sequential_interactions__svc__rbf,0.6807228915662651,0.677360686745235,0.7103825136612022,0.7994325621999127,0.8055261432349734,0.6851455733808675,0.6338028169014085,0.6337301587301587,0.6285714285714286,0.6873015873015873,0.6456195346182854,0.04692007466485659,0.043630528015076275,0.11213097489832535
sequential_interactions__svc__linear,0.7228915662650602,0.7263203841117416,0.7125,0.8131092681507347,0.7876998829484769,0.7431372549019607,0.676056338028169,0.6757936507936508,0.6666666666666666,0.7452380952380953,0.6889903200117067,0.046835228236891235,0.050526733318090766,0.06787117291263944
early_late__svc__linear,0.7228915662650602,0.7187545467772443,0.7526881720430108,0.7929579514040448,0.7250826124016723,0.7367795603089721,0.676056338028169,0.6777777777777778,0.7088607594936709,0.7698412698412699,0.7478278306055877,0.046835228236891235,0.04097676899946645,0.02311668156277491
early_late__svc__rbf,0.7590361445783133,0.75556525534701,0.782608695652174,0.8443183471555362,0.827512645013749,0.7689245395127747,0.7183098591549296,0.7186507936507937,0.7222222222222222,0.7690476190476191,0.7449240547070569,0.040726285423383635,0.03691446169621637,0.07527072810791713
early_middle__svc__poly3,0.8855421686746988,0.8849847228284592,0.8914285714285715,0.9566419321984577,0.9633901387663182,0.86951871657754,0.8450704225352113,0.8464285714285714,0.8571428571428571,0.8563492063492063,0.8498756960175685,0.04047174613948756,0.03855615139988777,0.10029272584925142
early_late__svc__sigmoid,0.7710843373493976,0.7688054706823804,0.7888888888888889,0.8313691255638004,0.7620955446784099,0.7729649435531788,0.7323943661971831,0.7333333333333334,0.7466666666666667,0.7857142857142857,0.7569369666155004,0.03868997115221451,0.03547213734904697,0.04565483984951468
early__svc__poly2,0.7710843373493976,0.7676414957078423,0.7934782608695652,0.8370435035646734,0.7652007467114222,0.7729055258467025,0.7323943661971831,0.7337301587301588,0.7532467532467533,0.7492063492063492,0.6878870390313914,0.03868997115221451,0.03391133697768356,0.08783715435832418
