seed,cv_mode,early_variant,model_spec_id,feature_block,model_name,model_variant,is_special_model,best_params,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_auc,external_accuracy,external_precision,external_recall,external_f1,external_auc,external_correct_n,external_total_n,external_tn,external_fp,external_fn,external_tp,n_features,external_accuracy_ci95_low,external_accuracy_ci95_high,external_accuracy_95ci
2026,exact,earlyv0,early_only__lr__l2,early_only,lr__l2,lr__l2,False,"{""C"": 0.03, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""liblinear""}",0.7470588235294118,0.7637950937950937,0.7944444444444444,0.7683864125360289,0.8187003968253969,0.704225352112676,0.675,0.7714285714285715,0.72,0.7468253968253968,50,71,23,13,8,27,61,,,
2026,exact,earlyv0,early_only__lr__l1,early_only,lr__l1,lr__l1,False,"{""C"": 0.03, ""class_weight"": null, ""penalty"": ""l1"", ""solver"": ""liblinear""}",0.7477941176470588,0.7792063492063492,0.7597222222222222,0.7623052729863875,0.8175223214285715,0.5633802816901409,0.5588235294117647,0.5428571428571428,0.5507246376811594,0.6595238095238095,40,71,21,15,16,19,61,,,
2026,exact,earlyv0,early_only__lr__elasticnet,early_only,lr__elasticnet,lr__elasticnet,False,"{""C"": 0.03, ""class_weight"": null, ""l1_ratio"": 0.25, ""penalty"": ""elasticnet"", ""solver"": ""saga""}",0.7716911764705883,0.7838203463203463,0.8055555555555556,0.7876937441643324,0.8303819444444445,0.6619718309859155,0.6486486486486487,0.6857142857142857,0.6666666666666666,0.7373015873015872,47,71,23,13,11,24,61,,,
2026,exact,earlyv0,early_only__svc__linear,early_only,svc__linear,svc__linear,False,"{""C"": 0.1, ""class_weight"": null, ""kernel"": ""linear""}",0.7477941176470588,0.7601820401820402,0.8180555555555555,0.7738617265087853,0.7860863095238095,0.6901408450704225,0.6666666666666666,0.7428571428571429,0.7027027027027027,0.7587301587301587,49,71,23,13,9,26,61,,,
2026,exact,earlyv0,early_only__svc__poly2,early_only,svc__poly2,svc__poly2,False,"{""C"": 0.1, ""class_weight"": null, ""coef0"": 1.0, ""degree"": 2, ""gamma"": ""scale"", ""kernel"": ""poly""}",0.7709558823529411,0.769696137196137,0.851388888888889,0.7975033559641178,0.8310763888888889,0.7183098591549296,0.6744186046511628,0.8285714285714286,0.7435897435897436,0.7452380952380953,51,71,22,14,6,29,61,,,
2026,exact,earlyv0,early_only__svc__poly3,early_only,svc__poly3,svc__poly3,False,"{""C"": 1.0, ""class_weight"": null, ""coef0"": 0.0, ""degree"": 3, ""gamma"": ""scale"", ""kernel"": ""poly""}",0.7834558823529412,0.7593398268398268,0.8972222222222221,0.8176249500563001,0.8129712301587301,0.704225352112676,0.6521739130434783,0.8571428571428571,0.7407407407407407,0.7142857142857143,50,71,20,16,5,30,61,,,
2026,exact,earlyv0,early_only__svc__rbf,early_only,svc__rbf,svc__rbf,False,"{""C"": 1.0, ""class_weight"": null, ""gamma"": ""scale"", ""kernel"": ""rbf""}",0.7768382352941177,0.7817063492063492,0.8277777777777777,0.7966433239962651,0.8357390873015873,0.6901408450704225,0.6511627906976745,0.8,0.717948717948718,0.7619047619047619,49,71,21,15,7,28,61,,,
2026,exact,earlyv0,early_only__svc__sigmoid,early_only,svc__sigmoid,svc__sigmoid,False,"{""C"": 1.0, ""class_weight"": null, ""coef0"": 0.0, ""gamma"": ""scale"", ""kernel"": ""sigmoid""}",0.7772058823529412,0.783154623154623,0.8527777777777776,0.7974978201529553,0.8226438492063493,0.7464788732394366,0.6888888888888889,0.8857142857142857,0.775,0.7642857142857142,53,71,22,14,4,31,61,,,
2026,exact,earlyv0,middle_only__lr__l2,middle_only,lr__l2,lr__l2,False,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""liblinear""}",0.8867647058823529,0.9438888888888888,0.8416666666666666,0.885436016511868,0.9709573412698413,0.7464788732394366,0.7073170731707317,0.8285714285714286,0.7631578947368421,0.8126984126984127,53,71,24,12,6,29,1025,,,
2026,exact,earlyv0,middle_only__lr__l1,middle_only,lr__l1,lr__l1,False,"{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l1"", ""solver"": ""liblinear""}",0.8680147058823529,0.9041666666666668,0.8527777777777779,0.8723770209838321,0.9379216269841271,0.6619718309859155,0.6222222222222222,0.8,0.7,0.776984126984127,47,71,19,17,7,28,1025,,,
2026,exact,earlyv0,middle_only__lr__elasticnet,middle_only,lr__elasticnet,lr__elasticnet,False,"{""C"": 1.0, ""class_weight"": ""balanced"", ""l1_ratio"": 0.5, ""penalty"": ""elasticnet"", ""solver"": ""saga""}",0.9036764705882353,0.9352777777777778,0.8861111111111111,0.9054721362229102,0.9584821428571428,0.676056338028169,0.6363636363636364,0.8,0.7088607594936709,0.7896825396825397,48,71,20,16,7,28,1025,,,
2026,exact,earlyv0,middle_only__svc__linear,middle_only,svc__linear,svc__linear,False,"{""C"": 0.1, ""class_weight"": null, ""kernel"": ""linear""}",0.8919117647058823,0.8937626262626264,0.9097222222222221,0.8984967320261438,0.9709821428571429,0.676056338028169,0.625,0.8571428571428571,0.7228915662650602,0.7928571428571429,48,71,18,18,5,30,1025,,,
2026,exact,earlyv0,middle_only__svc__poly2,middle_only,svc__poly2,svc__poly2,False,"{""C"": 3.0, ""class_weight"": null, ""coef0"": 1.0, ""degree"": 2, ""gamma"": ""scale"", ""kernel"": ""poly""}",0.8926470588235293,0.9046031746031746,0.898611111111111,0.8971306943830164,0.9741319444444445,0.7746478873239436,0.7111111111111111,0.9142857142857143,0.8,0.834920634920635,55,71,23,13,3,32,1025,,,
2026,exact,earlyv0,middle_only__svc__poly3,middle_only,svc__poly3,svc__poly3,False,"{""C"": 1.0, ""class_weight"": null, ""coef0"": 1.0, ""degree"": 3, ""gamma"": ""scale"", ""kernel"": ""poly""}",0.86875,0.8851587301587301,0.875,0.8757114600226055,0.9642113095238095,0.8028169014084507,0.7560975609756098,0.8857142857142857,0.8157894736842105,0.8412698412698413,57,71,26,10,4,31,1025,,,
2026,exact,earlyv0,middle_only__svc__rbf,middle_only,svc__rbf,svc__rbf,False,"{""C"": 3.0, ""class_weight"": null, ""gamma"": ""scale"", ""kernel"": ""rbf""}",0.8327205882352942,0.8448304473304473,0.8527777777777776,0.8406624404147625,0.9485863095238095,0.7887323943661971,0.7380952380952381,0.8857142857142857,0.8051948051948052,0.8452380952380952,56,71,25,11,4,31,1025,,,
2026,exact,earlyv0,middle_only__svc__sigmoid,middle_only,svc__sigmoid,svc__sigmoid,False,"{""C"": 1.0, ""class_weight"": null, ""coef0"": 0.0, ""gamma"": ""scale"", ""kernel"": ""sigmoid""}",0.8742647058823529,0.888997113997114,0.8763888888888889,0.8791013071895424,0.9476686507936508,0.7183098591549296,0.6666666666666666,0.8571428571428571,0.75,0.8115079365079365,51,71,21,15,5,30,1025,,,
2026,exact,earlyv0,late_only__lr__l2,late_only,lr__l2,lr__l2,False,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2"", ""solver"": ""liblinear""}",0.6933823529411764,0.7396428571428572,0.6652777777777777,0.6937052189296772,0.6745039682539682,0.4788732394366197,0.47368421052631576,0.5142857142857142,0.4931506849315068,0.5134920634920634,34,71,16,20,17,18,13,,,
2026,exact,earlyv0,late_only__lr__l1,late_only,lr__l1,lr__l1,False,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l1"", ""solver"": ""liblinear""}",0.6816176470588236,0.7383982683982684,0.6319444444444444,0.6736912133274363,0.6642609126984127,0.49295774647887325,0.48717948717948717,0.5428571428571428,0.5135135135135135,0.5174603174603174,35,71,16,20,16,19,13,,,
2026,exact,earlyv0,late_only__lr__elasticnet,late_only,lr__elasticnet,lr__elasticnet,False,"{""C"": 1.0, ""class_weight"": null, ""l1_ratio"": 0.25, ""penalty"": ""elasticnet"", ""solver"": ""saga""}",0.6996323529411764,0.7203083028083028,0.7222222222222222,0.7167752603433717,0.6729414682539682,0.5633802816901409,0.5454545454545454,0.6857142857142857,0.6075949367088608,0.5126984126984128,40,71,16,20,11,24,13,,,
2026,exact,earlyv0,late_only__svc__linear,late_only,svc__linear,svc__linear,False,"{""C"": 0.1, ""class_weight"": ""balanced"", ""kernel"": ""linear""}",0.6878676470588235,0.6975474525474525,0.7444444444444445,0.7163728617443788,0.6781994047619048,0.5070422535211268,0.5,0.6,0.5454545454545454,0.5071428571428571,36,71,15,21,14,21,13,,,
2026,exact,earlyv0,late_only__svc__poly2,late_only,svc__poly2,svc__poly2,False,"{""C"": 1.0, ""class_weight"": ""balanced"", ""coef0"": 1.0, ""degree"": 2, ""gamma"": ""scale"", ""kernel"": ""poly""}",0.6452205882352942,0.6436108336108335,0.7791666666666666,0.6989880168141037,0.6679811507936508,0.5492957746478874,0.5294117647058824,0.7714285714285715,0.627906976744186,0.5249999999999999,39,71,12,24,8,27,13,,,
2026,exact,earlyv0,late_only__svc__poly3,late_only,svc__poly3,svc__poly3,False,"{""C"": 0.1, ""class_weight"": ""balanced"", ""coef0"": 1.0, ""degree"": 3, ""gamma"": ""scale"", ""kernel"": ""poly""}",0.6323529411764706,0.623076923076923,0.7555555555555555,0.675855547960811,0.6866071428571429,0.5352112676056338,0.5161290322580645,0.9142857142857143,0.6597938144329897,0.5412698412698412,38,71,6,30,3,32,13,,,
2026,exact,earlyv0,late_only__svc__rbf,late_only,svc__rbf,svc__rbf,False,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.6507352941176471,0.655625763125763,0.711111111111111,0.6743624935585496,0.6792906746031746,0.5352112676056338,0.525,0.6,0.56,0.5380952380952381,38,71,17,19,14,21,13,,,
2026,exact,earlyv0,late_only__svc__sigmoid,late_only,svc__sigmoid,svc__sigmoid,False,"{""C"": 1.0, ""class_weight"": ""balanced"", ""coef0"": 0.0, ""gamma"": ""scale"", ""kernel"": ""sigmoid""}",0.6518382352941177,0.6548176823176823,0.7541666666666667,0.6889101371774006,0.6867559523809523,0.49295774647887325,0.4864864864864865,0.5142857142857142,0.5,0.503968253968254,35,71,17,19,17,18,13,,,
2026,exact,earlyv0,early_middle__lr__l2,early_middle,lr__l2,lr__l2,False,"{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""liblinear""}",0.8801470588235294,0.9296031746031745,0.8402777777777779,0.8796026831785346,0.9707837301587301,0.7746478873239436,0.7111111111111111,0.9142857142857143,0.8,0.8214285714285715,55,71,23,13,3,32,1086,,,
