early_variant,model_variant,raw_feature_block,scale_feature_block,raw_external_accuracy,scale_external_accuracy,scale_gain_delta,scale_has_gain
earlyv0,lr__elasticnet,early_middle,early_middle_scale,0.7605633802816901,0.7323943661971831,-0.028169014084507005,False
earlyv0,lr__elasticnet,middle_late,middle_late_scale,0.7183098591549296,0.7183098591549296,0.0,False
earlyv0,lr__elasticnet,all,all_plus_interactions,0.7464788732394366,0.7323943661971831,-0.014084507042253502,False
earlyv0,lr__elasticnet,early_late,sequential_interactions,0.647887323943662,0.7183098591549296,0.07042253521126762,True
earlyv0,lr__l1,early_middle,early_middle_scale,0.7464788732394366,0.7464788732394366,0.0,False
earlyv0,lr__l1,middle_late,middle_late_scale,0.6901408450704225,0.6901408450704225,0.0,False
earlyv0,lr__l1,all,all_plus_interactions,0.7464788732394366,0.7323943661971831,-0.014084507042253502,False
earlyv0,lr__l1,early_late,sequential_interactions,0.5915492957746479,0.7323943661971831,0.14084507042253525,True
earlyv0,lr__l2,early_middle,early_middle_scale,0.7746478873239436,0.7746478873239436,0.0,False
earlyv0,lr__l2,middle_late,middle_late_scale,0.7183098591549296,0.7183098591549296,0.0,False
earlyv0,lr__l2,all,all_plus_interactions,0.7746478873239436,0.7464788732394366,-0.028169014084507005,False
earlyv0,lr__l2,early_late,sequential_interactions,0.6619718309859155,0.7183098591549296,0.05633802816901412,True
earlyv0,svc__linear,early_middle,early_middle_scale,0.7183098591549296,0.7183098591549296,0.0,False
earlyv0,svc__linear,middle_late,middle_late_scale,0.704225352112676,0.7183098591549296,0.014084507042253613,True
earlyv0,svc__linear,all,all_plus_interactions,0.7464788732394366,0.7183098591549296,-0.028169014084507005,False
earlyv0,svc__linear,early_late,sequential_interactions,0.6619718309859155,0.6619718309859155,0.0,False
earlyv0,svc__poly2,early_middle,early_middle_scale,0.7605633802816901,0.7464788732394366,-0.014084507042253502,False
earlyv0,svc__poly2,middle_late,middle_late_scale,0.7605633802816901,0.7605633802816901,0.0,False
earlyv0,svc__poly2,all,all_plus_interactions,0.7464788732394366,0.7605633802816901,0.014084507042253502,True
earlyv0,svc__poly2,early_late,sequential_interactions,0.7183098591549296,0.6901408450704225,-0.028169014084507116,False
earlyv0,svc__poly3,early_middle,early_middle_scale,0.8450704225352113,0.8028169014084507,-0.04225352112676051,False
earlyv0,svc__poly3,middle_late,middle_late_scale,0.7887323943661971,0.7464788732394366,-0.04225352112676051,False
earlyv0,svc__poly3,all,all_plus_interactions,0.8309859154929577,0.7323943661971831,-0.09859154929577463,False
earlyv0,svc__poly3,early_late,sequential_interactions,0.7183098591549296,0.6197183098591549,-0.09859154929577474,False
earlyv0,svc__rbf,early_middle,early_middle_scale,0.7605633802816901,0.7605633802816901,0.0,False
earlyv0,svc__rbf,middle_late,middle_late_scale,0.7464788732394366,0.7464788732394366,0.0,False
earlyv0,svc__rbf,all,all_plus_interactions,0.7464788732394366,0.676056338028169,-0.07042253521126762,False
earlyv0,svc__rbf,early_late,sequential_interactions,0.704225352112676,0.7183098591549296,0.014084507042253613,True
earlyv0,svc__sigmoid,early_middle,early_middle_scale,0.7605633802816901,0.7323943661971831,-0.028169014084507005,False
earlyv0,svc__sigmoid,middle_late,middle_late_scale,0.6901408450704225,0.7183098591549296,0.028169014084507116,True
earlyv0,svc__sigmoid,all,all_plus_interactions,0.7464788732394366,0.704225352112676,-0.04225352112676062,False
earlyv0,svc__sigmoid,early_late,sequential_interactions,0.7323943661971831,0.6056338028169014,-0.12676056338028174,False
earlyv1,lr__elasticnet,early_middle,early_middle_scale,0.7605633802816901,0.7323943661971831,-0.028169014084507005,False
earlyv1,lr__elasticnet,middle_late,middle_late_scale,0.7183098591549296,0.7183098591549296,0.0,False
earlyv1,lr__elasticnet,all,all_plus_interactions,0.7464788732394366,0.7323943661971831,-0.014084507042253502,False
earlyv1,lr__elasticnet,early_late,sequential_interactions,0.647887323943662,0.7183098591549296,0.07042253521126762,True
earlyv1,lr__l1,early_middle,early_middle_scale,0.7464788732394366,0.7464788732394366,0.0,False
earlyv1,lr__l1,middle_late,middle_late_scale,0.6901408450704225,0.6901408450704225,0.0,False
earlyv1,lr__l1,all,all_plus_interactions,0.7464788732394366,0.7183098591549296,-0.028169014084507005,False
earlyv1,lr__l1,early_late,sequential_interactions,0.5915492957746479,0.7323943661971831,0.14084507042253525,True
earlyv1,lr__l2,early_middle,early_middle_scale,0.7746478873239436,0.7746478873239436,0.0,False
earlyv1,lr__l2,middle_late,middle_late_scale,0.7183098591549296,0.7183098591549296,0.0,False
earlyv1,lr__l2,all,all_plus_interactions,0.7746478873239436,0.7323943661971831,-0.04225352112676051,False
earlyv1,lr__l2,early_late,sequential_interactions,0.6619718309859155,0.7183098591549296,0.05633802816901412,True
earlyv1,svc__linear,early_middle,early_middle_scale,0.7183098591549296,0.7323943661971831,0.014084507042253502,True
earlyv1,svc__linear,middle_late,middle_late_scale,0.704225352112676,0.7183098591549296,0.014084507042253613,True
earlyv1,svc__linear,all,all_plus_interactions,0.7464788732394366,0.7183098591549296,-0.028169014084507005,False
earlyv1,svc__linear,early_late,sequential_interactions,0.676056338028169,0.647887323943662,-0.028169014084507005,False
earlyv1,svc__poly2,early_middle,early_middle_scale,0.7605633802816901,0.7464788732394366,-0.014084507042253502,False
earlyv1,svc__poly2,middle_late,middle_late_scale,0.7605633802816901,0.7605633802816901,0.0,False
earlyv1,svc__poly2,all,all_plus_interactions,0.7464788732394366,0.7605633802816901,0.014084507042253502,True
earlyv1,svc__poly2,early_late,sequential_interactions,0.7183098591549296,0.6901408450704225,-0.028169014084507116,False
earlyv1,svc__poly3,early_middle,early_middle_scale,0.8309859154929577,0.8028169014084507,-0.028169014084507005,False
earlyv1,svc__poly3,middle_late,middle_late_scale,0.7887323943661971,0.7464788732394366,-0.04225352112676051,False
earlyv1,svc__poly3,all,all_plus_interactions,0.8309859154929577,0.7323943661971831,-0.09859154929577463,False
earlyv1,svc__poly3,early_late,sequential_interactions,0.704225352112676,0.6197183098591549,-0.08450704225352113,False
earlyv1,svc__rbf,early_middle,early_middle_scale,0.7605633802816901,0.7605633802816901,0.0,False
earlyv1,svc__rbf,middle_late,middle_late_scale,0.7464788732394366,0.7464788732394366,0.0,False
earlyv1,svc__rbf,all,all_plus_interactions,0.7464788732394366,0.6901408450704225,-0.05633802816901412,False
