early_variant,model_spec_id,feature_block,classifier_name,model_family,n_seeds,external_accuracy_mean,external_accuracy_std,external_accuracy_ci95_low,external_accuracy_ci95_high,external_precision_mean,external_recall_mean,external_f1_mean,external_auc_mean,external_accuracy_min,external_accuracy_max,seed2026_external_accuracy,selection_threshold,selection_source
earlyv0,middle_late__svc__poly3,middle_late,svc__poly3,svc,3,0.7183098591549296,0.0,0.7183098591549296,0.7183098591549296,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.769047619047619,0.7183098591549296,0.7183098591549296,0.7887323943661971,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,middle_late__svc__poly3,middle_late,svc__poly3,svc,3,0.7183098591549296,0.0,0.7183098591549296,0.7183098591549296,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.769047619047619,0.7183098591549296,0.7183098591549296,0.7887323943661971,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,middle_late__svc__poly2,middle_late,svc__poly2,svc,3,0.7183098591549296,0.0,0.7183098591549296,0.7183098591549296,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.769047619047619,0.7183098591549296,0.7183098591549296,0.7605633802816901,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,middle_late__svc__poly2,middle_late,svc__poly2,svc,3,0.7183098591549296,0.0,0.7183098591549296,0.7183098591549296,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.769047619047619,0.7183098591549296,0.7183098591549296,0.7605633802816901,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,middle_only__svc__poly3,middle_only,svc__poly3,svc,3,0.704225352112676,0.0,0.704225352112676,0.704225352112676,0.7058823529411765,0.6857142857142856,0.6956521739130435,0.7674603174603174,0.704225352112676,0.704225352112676,0.8028169014084507,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,middle_only__svc__poly3,middle_only,svc__poly3,svc,3,0.704225352112676,0.0,0.704225352112676,0.704225352112676,0.7058823529411765,0.6857142857142856,0.6956521739130435,0.7674603174603174,0.704225352112676,0.704225352112676,0.8028169014084507,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,all_plus_interactions__svc__poly2,all_plus_interactions,svc__poly2,svc,3,0.6901408450704225,0.0,0.6901408450704225,0.6901408450704225,0.6857142857142856,0.6857142857142856,0.6857142857142856,0.726984126984127,0.6901408450704225,0.6901408450704225,0.7605633802816901,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,all_plus_interactions__svc__poly2,all_plus_interactions,svc__poly2,svc,3,0.6901408450704225,0.0,0.6901408450704225,0.6901408450704225,0.6857142857142856,0.6857142857142856,0.6857142857142856,0.7277777777777777,0.6901408450704225,0.6901408450704225,0.7605633802816901,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,early_middle__svc__poly3,early_middle,svc__poly3,svc,3,0.676056338028169,0.0,0.676056338028169,0.676056338028169,0.6666666666666666,0.6857142857142856,0.676056338028169,0.7674603174603175,0.676056338028169,0.676056338028169,0.8450704225352113,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,early_middle_scale__svc__poly3,early_middle_scale,svc__poly3,svc,3,0.676056338028169,0.0,0.676056338028169,0.676056338028169,0.6666666666666666,0.6857142857142856,0.676056338028169,0.765079365079365,0.676056338028169,0.676056338028169,0.8028169014084507,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
