model_spec_id,feature_block,model_name,model_variant,is_special_model,earlyv0_external_accuracy,earlyv1_external_accuracy,external_accuracy_delta,earlyv1_has_gain
middle_late__svc__rbf,middle_late,svc__rbf,svc__rbf,False,0.7746478873239436,0.7746478873239436,0.0,False
middle_late__svc__sigmoid,middle_late,svc__sigmoid,svc__sigmoid,False,0.704225352112676,0.704225352112676,0.0,False
middle_late_scale__lr__l2,middle_late_scale,lr__l2,lr__l2,False,0.7323943661971831,0.7323943661971831,0.0,False
middle_late_scale__lr__l1,middle_late_scale,lr__l1,lr__l1,False,0.676056338028169,0.676056338028169,0.0,False
middle_late_scale__lr__elasticnet,middle_late_scale,lr__elasticnet,lr__elasticnet,False,0.6901408450704225,0.6901408450704225,0.0,False
middle_late_scale__svc__linear,middle_late_scale,svc__linear,svc__linear,False,0.704225352112676,0.704225352112676,0.0,False
middle_late_scale__svc__poly2,middle_late_scale,svc__poly2,svc__poly2,False,0.704225352112676,0.704225352112676,0.0,False
middle_late_scale__svc__poly3,middle_late_scale,svc__poly3,svc__poly3,False,0.676056338028169,0.676056338028169,0.0,False
middle_late_scale__svc__rbf,middle_late_scale,svc__rbf,svc__rbf,False,0.7183098591549296,0.7183098591549296,0.0,False
middle_late_scale__svc__sigmoid,middle_late_scale,svc__sigmoid,svc__sigmoid,False,0.676056338028169,0.676056338028169,0.0,False
all__lr__l2,all,lr__l2,lr__l2,False,0.7605633802816901,0.7605633802816901,0.0,False
all__lr__l1,all,lr__l1,lr__l1,False,0.7323943661971831,0.7323943661971831,0.0,False
all__lr__elasticnet,all,lr__elasticnet,lr__elasticnet,False,0.7323943661971831,0.7323943661971831,0.0,False
all__svc__linear,all,svc__linear,svc__linear,False,0.7323943661971831,0.7323943661971831,0.0,False
all__svc__poly2,all,svc__poly2,svc__poly2,False,0.7605633802816901,0.7605633802816901,0.0,False
all__svc__poly3,all,svc__poly3,svc__poly3,False,0.8169014084507042,0.8169014084507042,0.0,False
all__svc__rbf,all,svc__rbf,svc__rbf,False,0.7605633802816901,0.7605633802816901,0.0,False
all__svc__sigmoid,all,svc__sigmoid,svc__sigmoid,False,0.7464788732394366,0.7464788732394366,0.0,False
all_plus_interactions__lr__l2,all_plus_interactions,lr__l2,lr__l2,False,0.7464788732394366,0.7464788732394366,0.0,False
all_plus_interactions__lr__l1,all_plus_interactions,lr__l1,lr__l1,False,0.7183098591549296,0.7183098591549296,0.0,False
all_plus_interactions__lr__elasticnet,all_plus_interactions,lr__elasticnet,lr__elasticnet,False,0.704225352112676,0.704225352112676,0.0,False
all_plus_interactions__svc__linear,all_plus_interactions,svc__linear,svc__linear,False,0.7183098591549296,0.7183098591549296,0.0,False
all_plus_interactions__svc__poly2,all_plus_interactions,svc__poly2,svc__poly2,False,0.704225352112676,0.704225352112676,0.0,False
all_plus_interactions__svc__poly3,all_plus_interactions,svc__poly3,svc__poly3,False,0.704225352112676,0.704225352112676,0.0,False
all_plus_interactions__svc__rbf,all_plus_interactions,svc__rbf,svc__rbf,False,0.7323943661971831,0.7323943661971831,0.0,False
all_plus_interactions__svc__sigmoid,all_plus_interactions,svc__sigmoid,svc__sigmoid,False,0.6901408450704225,0.704225352112676,0.014084507042253502,True
early_late__lr__l2,early_late,lr__l2,lr__l2,False,0.6901408450704225,0.6901408450704225,0.0,False
early_late__lr__l1,early_late,lr__l1,lr__l1,False,0.5633802816901409,0.5633802816901409,0.0,False
early_late__lr__elasticnet,early_late,lr__elasticnet,lr__elasticnet,False,0.6619718309859155,0.6619718309859155,0.0,False
early_late__svc__linear,early_late,svc__linear,svc__linear,False,0.704225352112676,0.7183098591549296,0.014084507042253613,True
early_late__svc__poly2,early_late,svc__poly2,svc__poly2,False,0.7183098591549296,0.704225352112676,-0.014084507042253613,False
early_late__svc__poly3,early_late,svc__poly3,svc__poly3,False,0.704225352112676,0.7183098591549296,0.014084507042253613,True
early_late__svc__rbf,early_late,svc__rbf,svc__rbf,False,0.704225352112676,0.704225352112676,0.0,False
early_late__svc__sigmoid,early_late,svc__sigmoid,svc__sigmoid,False,0.6901408450704225,0.6901408450704225,0.0,False
stage_activation_summary__lr__l2,stage_activation_summary,lr__l2,lr__l2,False,0.6197183098591549,0.6197183098591549,0.0,False
stage_activation_summary__lr__l1,stage_activation_summary,lr__l1,lr__l1,False,0.647887323943662,0.6338028169014085,-0.014084507042253502,False
stage_activation_summary__lr__elasticnet,stage_activation_summary,lr__elasticnet,lr__elasticnet,False,0.6197183098591549,0.6197183098591549,0.0,False
stage_activation_summary__svc__linear,stage_activation_summary,svc__linear,svc__linear,False,0.6197183098591549,0.6338028169014085,0.014084507042253613,True
stage_activation_summary__svc__poly2,stage_activation_summary,svc__poly2,svc__poly2,False,0.6197183098591549,0.6197183098591549,0.0,False
stage_activation_summary__svc__poly3,stage_activation_summary,svc__poly3,svc__poly3,False,0.6197183098591549,0.6338028169014085,0.014084507042253613,True
stage_activation_summary__svc__rbf,stage_activation_summary,svc__rbf,svc__rbf,False,0.6338028169014085,0.6197183098591549,-0.014084507042253613,False
stage_activation_summary__svc__sigmoid,stage_activation_summary,svc__sigmoid,svc__sigmoid,False,0.6338028169014085,0.6056338028169014,-0.028169014084507116,False
sequential_interactions__lr__l2,sequential_interactions,lr__l2,lr__l2,False,0.7746478873239436,0.7746478873239436,0.0,False
sequential_interactions__lr__l1,sequential_interactions,lr__l1,lr__l1,False,0.7183098591549296,0.7464788732394366,0.028169014084507005,True
sequential_interactions__lr__elasticnet,sequential_interactions,lr__elasticnet,lr__elasticnet,False,0.7323943661971831,0.7183098591549296,-0.014084507042253502,False
sequential_interactions__svc__linear,sequential_interactions,svc__linear,svc__linear,False,0.7323943661971831,0.7323943661971831,0.0,False
sequential_interactions__svc__poly2,sequential_interactions,svc__poly2,svc__poly2,False,0.6619718309859155,0.6619718309859155,0.0,False
sequential_interactions__svc__poly3,sequential_interactions,svc__poly3,svc__poly3,False,0.647887323943662,0.647887323943662,0.0,False
sequential_interactions__svc__rbf,sequential_interactions,svc__rbf,svc__rbf,False,0.6901408450704225,0.6901408450704225,0.0,False
sequential_interactions__svc__sigmoid,sequential_interactions,svc__sigmoid,svc__sigmoid,False,0.6338028169014085,0.6338028169014085,0.0,False
stage_score_early_middle__lr__l2,all,stage_score_early_middle__lr__l2,stage_score_early_middle__lr__l2,True,0.7605633802816901,0.7746478873239436,0.014084507042253502,True
stage_score_middle_late__lr__l2,all,stage_score_middle_late__lr__l2,stage_score_middle_late__lr__l2,True,0.7183098591549296,0.7183098591549296,0.0,False
stage_score_early_late__lr__l2,all,stage_score_early_late__lr__l2,stage_score_early_late__lr__l2,True,0.6901408450704225,0.6901408450704225,0.0,False
stage_score_three_stage__lr__l2,all,stage_score_three_stage__lr__l2,stage_score_three_stage__lr__l2,True,0.7746478873239436,0.7746478873239436,0.0,False
early_middle__mlp__small,early_middle,early_middle__mlp__small,mlp__small,True,0.7605633802816901,0.676056338028169,-0.08450704225352113,False
mlp_svc_late_calibrated__lr__l2,all,mlp_svc_late_calibrated__lr__l2,mlp_svc_late_calibrated__lr__l2,True,0.7605633802816901,0.7887323943661971,0.028169014084507005,True
