early_variant,model_spec_id,feature_block,classifier_name,model_family,external_accuracy,external_precision,external_recall,external_f1,external_auc,n_features,selected_by,selection_threshold,selection_source
earlyv0,early_middle__svc__poly2,early_middle,svc__poly2,svc,0.7605633802816901,0.6956521739130435,0.9142857142857144,0.7901234567901234,0.8444444444444444,1086,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,early_middle__svc__rbf,early_middle,svc__rbf,svc,0.7605633802816901,0.7045454545454546,0.8857142857142857,0.7848101265822784,0.8499999999999999,1086,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,early_middle__svc__sigmoid,early_middle,svc__sigmoid,svc,0.7605633802816901,0.7142857142857143,0.8571428571428571,0.7792207792207793,0.8253968253968254,1086,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,early_middle_scale__svc__rbf,early_middle_scale,svc__rbf,svc,0.7605633802816901,0.7045454545454546,0.8857142857142857,0.7848101265822784,0.8468253968253967,1148,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,middle_late__svc__poly2,middle_late,svc__poly2,svc,0.7605633802816901,0.6956521739130435,0.9142857142857144,0.7901234567901234,0.8269841269841269,1038,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,middle_late_scale__svc__poly2,middle_late_scale,svc__poly2,svc,0.7605633802816901,0.7142857142857143,0.8571428571428571,0.7792207792207793,0.8031746031746031,2064,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,all_plus_interactions__svc__poly2,all_plus_interactions,svc__poly2,svc,0.7605633802816901,0.7045454545454546,0.8857142857142857,0.7848101265822784,0.8119047619047619,2255,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,early_middle__lr__elasticnet,early_middle,lr__elasticnet,lr,0.7605633802816901,0.7045454545454546,0.8857142857142857,0.7848101265822784,0.8222222222222222,1087,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,early_middle__svc__poly2,early_middle,svc__poly2,svc,0.7605633802816901,0.6956521739130435,0.9142857142857144,0.7901234567901234,0.8436507936507937,1087,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,early_middle__svc__rbf,early_middle,svc__rbf,svc,0.7605633802816901,0.7045454545454546,0.8857142857142857,0.7848101265822784,0.8499999999999999,1087,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,early_middle__svc__sigmoid,early_middle,svc__sigmoid,svc,0.7605633802816901,0.7142857142857143,0.8571428571428571,0.7792207792207793,0.8261904761904761,1087,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,early_middle_scale__svc__rbf,early_middle_scale,svc__rbf,svc,0.7605633802816901,0.7045454545454546,0.8857142857142857,0.7848101265822784,0.8468253968253967,1150,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,middle_late__svc__poly2,middle_late,svc__poly2,svc,0.7605633802816901,0.6956521739130435,0.9142857142857144,0.7901234567901234,0.8269841269841269,1038,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,middle_late_scale__svc__poly2,middle_late_scale,svc__poly2,svc,0.7605633802816901,0.7142857142857143,0.8571428571428571,0.7792207792207793,0.8031746031746031,2064,seed2026_external_accuracy,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
