model_name,metric,bootstrap_mean,ci_low,ci_high,n_boot
early__lr__l2,accuracy,0.7007042253521126,0.6052816901408451,0.8028169014084507,200
early__lr__l2,balanced_accuracy,0.7009404761904762,0.604454365079365,0.8031746031746032,200
early__lr__l2,sensitivity,0.7177142857142857,0.5714285714285714,0.8571428571428571,200
early__lr__l2,specificity,0.6841666666666666,0.5555555555555556,0.8062500000000001,200
early__lr__l2,f1,0.7017153364465298,0.583266129032258,0.8055555555555556,200
early__lr__l2,roc_auc,0.7525833333333333,0.6404563492063492,0.852638888888889,200
early__lr__l2,pr_auc,0.7224671589545312,0.6037883638176657,0.8492912000848326,200
early__lr__l2,mcc,0.40435822129097543,0.21020966054998022,0.6068310095291992,200
early__lr__l1,accuracy,0.6704929577464789,0.5774647887323944,0.7746478873239436,200
early__lr__l1,balanced_accuracy,0.6707361111111112,0.5769742063492063,0.7750198412698412,200
early__lr__l1,sensitivity,0.6879999999999998,0.5142857142857142,0.8285714285714286,200
early__lr__l1,specificity,0.6534722222222222,0.5,0.7784722222222223,200
early__lr__l1,f1,0.6718586578185196,0.5587418300653595,0.7778985507246378,200
early__lr__l1,roc_auc,0.7141388888888889,0.5942460317460317,0.8246626984126983,200
early__lr__l1,pr_auc,0.6649404043139586,0.5517277933864836,0.7881572851095191,200
early__lr__l1,mcc,0.34394105148232823,0.15440322149924637,0.5506329388799932,200
early__lr__elasticnet,accuracy,0.6832394366197184,0.5774647887323944,0.775,200
early__lr__elasticnet,balanced_accuracy,0.6840654761904762,0.5789484126984127,0.7761507936507936,200
early__lr__elasticnet,sensitivity,0.7427142857142858,0.5714285714285714,0.8857142857142857,200
early__lr__elasticnet,specificity,0.6254166666666666,0.4722222222222222,0.7777777777777778,200
early__lr__elasticnet,f1,0.697397947081318,0.5797101449275363,0.7898667122351334,200
early__lr__elasticnet,roc_auc,0.726063492063492,0.6038888888888889,0.8318055555555556,200
early__lr__elasticnet,pr_auc,0.679201322843949,0.5621300706605328,0.8065507773784162,200
early__lr__elasticnet,mcc,0.37263458881508355,0.1614559911208509,0.5590685333775156,200
early__svc__linear,accuracy,0.6311267605633804,0.5348591549295775,0.7323943661971831,200
early__svc__linear,balanced_accuracy,0.6331091269841269,0.5365674603174603,0.7349305555555556,200
early__svc__linear,sensitivity,0.773857142857143,0.6564285714285715,0.9142857142857143,200
early__svc__linear,specificity,0.49236111111111114,0.36041666666666666,0.6388888888888888,200
early__svc__linear,f1,0.6736901870437054,0.5833069620253165,0.7711822289156627,200
early__svc__linear,roc_auc,0.7040952380952382,0.5880952380952381,0.8167063492063492,200
early__svc__linear,pr_auc,0.7092618822509256,0.5999784875139454,0.825056096078567,200
early__svc__linear,mcc,0.2786581537771334,0.07535018006255322,0.5022804708124035,200
early__svc__poly2,accuracy,0.7700704225352112,0.676056338028169,0.8595070422535211,200
early__svc__poly2,balanced_accuracy,0.7712976190476191,0.6781646825396825,0.8606646825396826,200
early__svc__poly2,sensitivity,0.8584285714285715,0.7428571428571429,0.9714285714285714,200
early__svc__poly2,specificity,0.6841666666666666,0.5555555555555556,0.8062500000000001,200
early__svc__poly2,f1,0.7864212703572622,0.7027027027027027,0.8687105263157896,200
early__svc__poly2,roc_auc,0.7476031746031745,0.6301587301587301,0.8501984126984127,200
early__svc__poly2,pr_auc,0.707654187161531,0.5976738444987918,0.833597803346775,200
early__svc__poly2,mcc,0.5522481206890598,0.37283206430977084,0.7299965566453495,200
early__svc__poly3,accuracy,0.7015492957746479,0.6056338028169014,0.8028169014084507,200
early__svc__poly3,balanced_accuracy,0.7033650793650793,0.6075396825396826,0.8039781746031747,200
early__svc__poly3,sensitivity,0.8322857142857143,0.7142857142857143,0.9428571428571428,200
early__svc__poly3,specificity,0.5744444444444444,0.3888888888888889,0.7222222222222222,200
early__svc__poly3,f1,0.7333058580370355,0.6499837662337663,0.819308001235712,200
early__svc__poly3,roc_auc,0.7591071428571428,0.6419642857142857,0.8580555555555556,200
early__svc__poly3,pr_auc,0.7262783950899597,0.6175760492533147,0.8479738336137236,200
early__svc__poly3,mcc,0.42196924522296864,0.22319840535017604,0.6223475979338293,200
early__svc__rbf,accuracy,0.7422535211267607,0.647887323943662,0.8450704225352113,200
early__svc__rbf,balanced_accuracy,0.7430833333333333,0.6484126984126984,0.8456746031746032,200
early__svc__rbf,sensitivity,0.8020000000000002,0.6857142857142857,0.9428571428571428,200
early__svc__rbf,specificity,0.6841666666666666,0.5555555555555556,0.8062500000000001,200
early__svc__rbf,f1,0.7540111956128515,0.6582105080631176,0.8496871300524269,200
early__svc__rbf,roc_auc,0.7622142857142857,0.6420436507936508,0.8596626984126984,200
early__svc__rbf,pr_auc,0.7445768287283139,0.6341122547645048,0.8634941684230502,200
early__svc__rbf,mcc,0.4909842120003265,0.2975346580440656,0.6937710489938946,200
early__svc__sigmoid,accuracy,0.7279577464788732,0.6197183098591549,0.8309859154929577,200
early__svc__sigmoid,balanced_accuracy,0.7289523809523808,0.6214285714285714,0.8321527777777777,200
early__svc__sigmoid,sensitivity,0.7995714285714286,0.685,0.9428571428571428,200
early__svc__sigmoid,specificity,0.6583333333333334,0.5,0.8055555555555556,200
early__svc__sigmoid,f1,0.7431740166872113,0.6399722222222223,0.8422064777327934,200
early__svc__sigmoid,roc_auc,0.7423492063492063,0.6197817460317461,0.8446031746031747,200
early__svc__sigmoid,pr_auc,0.7182228855645738,0.6016364219779885,0.8389677079364376,200
early__svc__sigmoid,mcc,0.46425798401170554,0.2501082016930124,0.6725387710103485,200
middle__lr__l2,accuracy,0.7428169014084507,0.6338028169014085,0.8450704225352113,200
middle__lr__l2,balanced_accuracy,0.7440238095238095,0.635297619047619,0.8456349206349206,200
middle__lr__l2,sensitivity,0.8297142857142857,0.6857142857142857,0.9428571428571428,200
middle__lr__l2,specificity,0.6583333333333333,0.5,0.8055555555555556,200
middle__lr__l2,f1,0.760921438832252,0.6580059181325004,0.8493321917808219,200
middle__lr__l2,roc_auc,0.8197420634920636,0.7094841269841269,0.902420634920635,200
middle__lr__l2,pr_auc,0.8291292893509382,0.7272361467480695,0.9150269877132293,200
middle__lr__l2,mcc,0.49674861357592703,0.27669424582411245,0.6929216234127838,200
middle__lr__l1,accuracy,0.6869718309859155,0.5771126760563381,0.8028169014084507,200
middle__lr__l1,balanced_accuracy,0.6881686507936507,0.5778571428571428,0.8012202380952381,200
middle__lr__l1,sensitivity,0.7731428571428571,0.6285714285714286,0.9142857142857143,200
middle__lr__l1,specificity,0.6031944444444445,0.4444444444444444,0.7777777777777778,200
middle__lr__l1,f1,0.7088233843181118,0.594518462124096,0.805203823953824,200
middle__lr__l1,roc_auc,0.7692619047619047,0.6475,0.8825595238095237,200
middle__lr__l1,pr_auc,0.7526845087100622,0.6198335008215394,0.8888140493463736,200
middle__lr__l1,mcc,0.3835415353473647,0.1565984176729189,0.6062225778955523,200
middle__lr__elasticnet,accuracy,0.6727464788732395,0.5633802816901409,0.7746478873239436,200
middle__lr__elasticnet,balanced_accuracy,0.6745079365079366,0.5658531746031746,0.7758035714285714,200
middle__lr__elasticnet,sensitivity,0.7995714285714286,0.6571428571428571,0.9142857142857143,200
middle__lr__elasticnet,specificity,0.5494444444444444,0.3888888888888889,0.7222222222222222,200
middle__lr__elasticnet,f1,0.7066328590911647,0.6132941176470588,0.7895998558038934,200
middle__lr__elasticnet,roc_auc,0.7915317460317459,0.6665277777777777,0.8913095238095239,200
middle__lr__elasticnet,pr_auc,0.786175175769606,0.6671721552765008,0.9004933945427093,200
middle__lr__elasticnet,mcc,0.3616912117284637,0.14057917371908588,0.5584436416847964,200
middle__svc__linear,accuracy,0.6721830985915492,0.5630281690140846,0.7746478873239436,200
middle__svc__linear,balanced_accuracy,0.6747480158730158,0.5647718253968254,0.776984126984127,200
middle__svc__linear,sensitivity,0.8568571428571429,0.7142857142857143,0.9714285714285714,200
