model_name,severity_group,n,accuracy,mean_p_ad,false_negatives,false_positives
early__lr__elasticnet,control,36,0.6388888888888888,0.4400935551061035,0,13
early__lr__elasticnet,early,6,0.5,0.561445153513364,3,0
early__lr__elasticnet,late,7,1.0,0.7016099388513376,0,0
early__lr__elasticnet,middle,14,0.7857142857142857,0.5943025671481034,3,0
early__lr__l1,AD_high_MMSE,8,0.625,0.5343255209309893,3,0
early__lr__l1,control,36,0.6666666666666666,0.4183156067663666,0,12
early__lr__l1,early,6,0.5,0.5448162047289139,3,0
early__lr__l1,late,7,1.0,0.668537860697786,0,0
early__lr__l1,middle,14,0.6428571428571429,0.5759004055932903,5,0
early__lr__l2,AD_high_MMSE,8,0.625,0.5273559938865383,3,0
early__lr__l2,control,36,0.6944444444444444,0.3753862719460771,0,11
early__lr__l2,early,6,0.6666666666666666,0.5477192826325136,2,0
early__lr__l2,late,7,1.0,0.7545136315820681,0,0
early__lr__l2,middle,14,0.6428571428571429,0.603163229130337,5,0
early__svc__linear,AD_high_MMSE,8,0.625,0.542230675073659,3,0
early__svc__linear,control,36,0.5,0.4853494876442772,0,18
early__svc__linear,early,6,0.8333333333333334,0.5738253500082813,1,0
early__svc__linear,late,7,1.0,0.6295587013774516,0,0
early__svc__linear,middle,14,0.7142857142857143,0.5768816809263458,4,0
early__svc__poly2,AD_high_MMSE,8,0.75,0.5961918915377025,2,0
early__svc__poly2,control,36,0.6944444444444444,0.39898706543509815,0,11
early__svc__poly2,early,6,0.6666666666666666,0.5604891595973872,2,0
early__svc__poly2,late,7,1.0,0.7822146532761726,0,0
early__svc__poly2,middle,14,0.9285714285714286,0.6380869008467674,1,0
early__svc__poly3,AD_high_MMSE,8,0.75,0.5932258162358538,2,0
early__svc__poly3,control,36,0.5833333333333334,0.38132364842403255,0,15
early__svc__poly3,early,6,0.6666666666666666,0.559572330523917,2,0
early__svc__poly3,late,7,1.0,0.785807787829792,0,0
early__svc__poly3,middle,14,0.8571428571428571,0.6459980158350243,2,0
early__svc__rbf,AD_high_MMSE,8,0.75,0.6128619763832742,2,0
early__svc__rbf,control,36,0.6944444444444444,0.3863487862686332,0,11
early__svc__rbf,early,6,0.6666666666666666,0.5721535692928774,2,0
early__svc__rbf,late,7,0.8571428571428571,0.80763922366805,1,0
early__svc__rbf,middle,14,0.8571428571428571,0.642137471075588,2,0
early__svc__sigmoid,AD_high_MMSE,8,0.625,0.590513519191044,3,0
early__svc__sigmoid,control,36,0.6666666666666666,0.4189640441690652,0,12
early__svc__sigmoid,early,6,0.6666666666666666,0.5648838726417647,2,0
early__svc__sigmoid,late,7,1.0,0.7771592204057629,0,0
early__svc__sigmoid,middle,14,0.8571428571428571,0.6236479396695701,2,0
early_late__lr__elasticnet,AD_high_MMSE,8,0.625,0.5390507719366029,3,0
early_late__lr__elasticnet,control,36,0.6944444444444444,0.41767628348529406,0,11
early_late__lr__elasticnet,early,6,0.5,0.5401878822254059,3,0
early_late__lr__elasticnet,late,7,1.0,0.6875771923992097,0,0
early_late__lr__elasticnet,middle,14,0.7142857142857143,0.5745711875478301,4,0
early_late__lr__l1,AD_high_MMSE,8,0.625,0.5370724309485178,3,0
early_late__lr__l1,control,36,0.6666666666666666,0.41235397270841545,0,12
early_late__lr__l1,early,6,0.5,0.5383694683099977,3,0
early_late__lr__l1,late,7,1.0,0.675541217132425,0,0
early_late__lr__l1,middle,14,0.6428571428571429,0.5748080471018896,5,0
early_late__lr__l2,AD_high_MMSE,8,0.625,0.5416313032104041,3,0
early_late__lr__l2,control,36,0.6944444444444444,0.372320748939265,0,11
early_late__lr__l2,early,6,0.5,0.5469122823116593,3,0
early_late__lr__l2,late,7,0.8571428571428571,0.7696708991717102,1,0
early_late__lr__l2,middle,14,0.7857142857142857,0.6159331742803024,3,0
early_late__svc__linear,AD_high_MMSE,8,0.625,0.5502626794365878,3,0
early_late__svc__linear,control,36,0.5833333333333334,0.43665135025779483,0,15
early_late__svc__linear,early,6,0.6666666666666666,0.608797571370034,2,0
early_late__svc__linear,late,7,1.0,0.7286913180925298,0,0
early_late__svc__linear,middle,14,0.7857142857142857,0.6297985304050986,3,0
early_late__svc__poly2,AD_high_MMSE,8,0.625,0.6009301638565994,3,0
early_late__svc__poly2,control,36,0.6388888888888888,0.3957079767473997,0,13
early_late__svc__poly2,early,6,0.6666666666666666,0.5529683566936799,2,0
early_late__svc__poly2,late,7,0.8571428571428571,0.7794845400281185,1,0
early_late__svc__poly2,middle,14,0.8571428571428571,0.6202861321562244,2,0
early_late__svc__poly3,AD_high_MMSE,8,0.625,0.6019798938867661,3,0
early_late__svc__poly3,control,36,0.6388888888888888,0.3805610463572622,0,13
early_late__svc__poly3,early,6,0.6666666666666666,0.5396602876813635,2,0
early_late__svc__poly3,late,7,0.8571428571428571,0.7779372492291988,1,0
early_late__svc__poly3,middle,14,0.9285714285714286,0.6315414843353871,1,0
early_late__svc__rbf,AD_high_MMSE,8,0.625,0.5866542297366143,3,0
early_late__svc__rbf,control,36,0.6666666666666666,0.40319189607394623,0,12
early_late__svc__rbf,early,6,0.6666666666666666,0.5463480511155784,2,0
early_late__svc__rbf,late,7,0.8571428571428571,0.7644519135238665,1,0
early_late__svc__rbf,middle,14,0.7142857142857143,0.5841226056204475,4,0
early_late__svc__sigmoid,AD_high_MMSE,8,0.625,0.574550292054703,3,0
early_late__svc__sigmoid,control,36,0.6388888888888888,0.40549101308040325,0,13
early_late__svc__sigmoid,early,6,0.6666666666666666,0.5491634457750432,2,0
early_late__svc__sigmoid,late,7,0.8571428571428571,0.7519217277987632,1,0
early_late__svc__sigmoid,middle,14,0.6428571428571429,0.5928521296199872,5,0
early_middle__lr__elasticnet,AD_high_MMSE,8,0.875,0.8119700591560688,1,0
early_middle__lr__elasticnet,control,36,0.6111111111111112,0.4362475621774146,0,14
early_middle__lr__elasticnet,early,6,0.8333333333333334,0.8037566726256803,1,0
early_middle__lr__elasticnet,late,7,1.0,0.9677056545654334,0,0
early_middle__lr__elasticnet,middle,14,0.8571428571428571,0.8179980470221098,2,0
early_middle__lr__l1,AD_high_MMSE,8,0.875,0.8482177906178551,1,0
early_middle__lr__l1,control,36,0.6111111111111112,0.4295301918018063,0,14
early_middle__lr__l1,early,6,0.8333333333333334,0.7867926137735256,1,0
early_middle__lr__l1,late,7,1.0,0.965811212736854,0,0
early_middle__lr__l1,middle,14,0.8571428571428571,0.7805697583015397,2,0
early_middle__lr__l2,AD_high_MMSE,8,0.875,0.8332606790416972,1,0
early_middle__lr__l2,control,36,0.6666666666666666,0.382319962102989,0,12
early_middle__lr__l2,early,6,0.8333333333333334,0.8256469685278037,1,0
early_middle__lr__l2,late,7,1.0,0.9349411458272643,0,0
early_middle__lr__l2,middle,14,0.9285714285714286,0.8039867830400994,1,0
early_middle__mlp__small,AD_high_MMSE,8,0.5,0.4559883886821965,4,0
early_middle__mlp__small,control,36,0.7777777777777778,0.2845833734502147,0,8
early_middle__mlp__small,early,6,0.3333333333333333,0.4427515931888271,4,0
early_middle__mlp__small,late,7,0.8571428571428571,0.687893646148589,1,0
