model_name,severity_group,n,accuracy,mean_p_ad,false_negatives,false_positives
middle_late_scale__lr__elasticnet,late,7,0.8571428571428571,0.8454776079702462,1,0
middle_late_scale__lr__elasticnet,middle,14,0.7857142857142857,0.7181200990445313,3,0
middle_late_scale__lr__l1,AD_high_MMSE,8,0.875,0.8762725422001094,1,0
middle_late_scale__lr__l1,control,36,0.5,0.4858358742655986,0,18
middle_late_scale__lr__l1,early,6,0.8333333333333334,0.7939991599604083,1,0
middle_late_scale__lr__l1,late,7,0.8571428571428571,0.862047654613078,1,0
middle_late_scale__lr__l1,middle,14,0.7142857142857143,0.7328681628160485,4,0
middle_late_scale__lr__l2,AD_high_MMSE,8,0.875,0.848144320332604,1,0
middle_late_scale__lr__l2,control,36,0.6388888888888888,0.4016118606394434,0,13
middle_late_scale__lr__l2,early,6,0.8333333333333334,0.818388088141675,1,0
middle_late_scale__lr__l2,late,7,0.8571428571428571,0.8609150041130837,1,0
middle_late_scale__lr__l2,middle,14,0.9285714285714286,0.79211114144577,1,0
middle_late_scale__svc__linear,AD_high_MMSE,8,0.875,0.8670639701329992,1,0
middle_late_scale__svc__linear,control,36,0.5555555555555556,0.48767540135996806,0,16
middle_late_scale__svc__linear,early,6,0.8333333333333334,0.77960271280647,1,0
middle_late_scale__svc__linear,late,7,0.8571428571428571,0.8755418355632313,1,0
middle_late_scale__svc__linear,middle,14,0.9285714285714286,0.7560361983053474,1,0
middle_late_scale__svc__poly2,AD_high_MMSE,8,0.875,0.8273466603593785,1,0
middle_late_scale__svc__poly2,control,36,0.6666666666666666,0.43042798833934554,0,12
middle_late_scale__svc__poly2,early,6,0.8333333333333334,0.7806433890375342,1,0
middle_late_scale__svc__poly2,late,7,0.8571428571428571,0.8770646848321005,1,0
middle_late_scale__svc__poly2,middle,14,0.8571428571428571,0.8031288730882885,2,0
middle_late_scale__svc__poly3,AD_high_MMSE,8,1.0,0.8000838538659943,0,0
middle_late_scale__svc__poly3,control,36,0.6944444444444444,0.41428239580046405,0,11
middle_late_scale__svc__poly3,early,6,0.8333333333333334,0.7338992265475671,1,0
middle_late_scale__svc__poly3,late,7,0.8571428571428571,0.8797996499086783,1,0
middle_late_scale__svc__poly3,middle,14,0.9285714285714286,0.8080780400058483,1,0
middle_late_scale__svc__rbf,AD_high_MMSE,8,0.875,0.7698738776836217,1,0
middle_late_scale__svc__rbf,control,36,0.6388888888888888,0.4107157819890084,0,13
middle_late_scale__svc__rbf,early,6,0.8333333333333334,0.72854753083992,1,0
middle_late_scale__svc__rbf,late,7,1.0,0.9147253355660083,0,0
middle_late_scale__svc__rbf,middle,14,0.8571428571428571,0.7676496426944822,2,0
middle_late_scale__svc__sigmoid,AD_high_MMSE,8,0.75,0.7985032654101227,2,0
middle_late_scale__svc__sigmoid,control,36,0.6111111111111112,0.43818079564737716,0,14
middle_late_scale__svc__sigmoid,early,6,0.8333333333333334,0.7995779225624032,1,0
middle_late_scale__svc__sigmoid,late,7,0.8571428571428571,0.8507662335071248,1,0
middle_late_scale__svc__sigmoid,middle,14,0.8571428571428571,0.7677772247470667,2,0
mlp_svc_late_calibrated__lr__l2,AD_high_MMSE,8,0.875,0.8348937632226283,1,0
mlp_svc_late_calibrated__lr__l2,control,36,0.6388888888888888,0.40220466009740846,0,13
mlp_svc_late_calibrated__lr__l2,early,6,0.8333333333333334,0.7929299586134498,1,0
mlp_svc_late_calibrated__lr__l2,late,7,1.0,0.8924989275630496,0,0
mlp_svc_late_calibrated__lr__l2,middle,14,0.9285714285714286,0.8217773528965439,1,0
sequential_interactions__lr__elasticnet,AD_high_MMSE,8,0.75,0.749728662867394,2,0
sequential_interactions__lr__elasticnet,control,36,0.5555555555555556,0.463259350443163,0,16
sequential_interactions__lr__elasticnet,early,6,0.8333333333333334,0.6898668655580106,1,0
sequential_interactions__lr__elasticnet,late,7,0.8571428571428571,0.8461779912767667,1,0
sequential_interactions__lr__elasticnet,middle,14,0.7857142857142857,0.7169063849107672,3,0
sequential_interactions__lr__l1,AD_high_MMSE,8,0.875,0.740841544478517,1,0
sequential_interactions__lr__l1,control,36,0.5555555555555556,0.4734136246377692,0,16
sequential_interactions__lr__l1,early,6,0.8333333333333334,0.7391616793349024,1,0
sequential_interactions__lr__l1,late,7,0.8571428571428571,0.7685611418122996,1,0
sequential_interactions__lr__l1,middle,14,0.6428571428571429,0.653714779791531,5,0
sequential_interactions__lr__l2,AD_high_MMSE,8,0.875,0.8667957045486172,1,0
sequential_interactions__lr__l2,control,36,0.5555555555555556,0.43603455247377454,0,16
sequential_interactions__lr__l2,early,6,0.8333333333333334,0.8230682647245625,1,0
sequential_interactions__lr__l2,late,7,0.8571428571428571,0.903208818242692,1,0
sequential_interactions__lr__l2,middle,14,0.9285714285714286,0.8609011587087917,1,0
sequential_interactions__svc__linear,AD_high_MMSE,8,0.875,0.821284695374577,1,0
sequential_interactions__svc__linear,control,36,0.5277777777777778,0.47014413825461154,0,17
sequential_interactions__svc__linear,early,6,0.8333333333333334,0.7807304099573296,1,0
sequential_interactions__svc__linear,late,7,1.0,0.9207015821520862,0,0
sequential_interactions__svc__linear,middle,14,0.9285714285714286,0.8042461514236793,1,0
sequential_interactions__svc__poly2,AD_high_MMSE,8,0.875,0.8055492508212164,1,0
sequential_interactions__svc__poly2,control,36,0.6388888888888888,0.4311551190058268,0,13
sequential_interactions__svc__poly2,early,6,0.8333333333333334,0.7671432557678433,1,0
sequential_interactions__svc__poly2,late,7,0.8571428571428571,0.8991761901791124,1,0
sequential_interactions__svc__poly2,middle,14,0.8571428571428571,0.7966197754501374,2,0
sequential_interactions__svc__poly3,AD_high_MMSE,8,0.875,0.7959900693014043,1,0
sequential_interactions__svc__poly3,control,36,0.6944444444444444,0.40204491668473136,0,11
sequential_interactions__svc__poly3,early,6,0.8333333333333334,0.730904434223687,1,0
sequential_interactions__svc__poly3,late,7,0.8571428571428571,0.8823221299346223,1,0
sequential_interactions__svc__poly3,middle,14,0.8571428571428571,0.7813882709079741,2,0
sequential_interactions__svc__rbf,AD_high_MMSE,8,0.625,0.6800677278673726,3,0
sequential_interactions__svc__rbf,control,36,0.7222222222222222,0.36784009851144295,0,10
sequential_interactions__svc__rbf,early,6,0.8333333333333334,0.7363118650771768,1,0
sequential_interactions__svc__rbf,late,7,0.8571428571428571,0.8877042395835714,1,0
sequential_interactions__svc__rbf,middle,14,0.7857142857142857,0.6865047249920575,3,0
sequential_interactions__svc__sigmoid,AD_high_MMSE,8,1.0,0.8392542453302005,0,0
sequential_interactions__svc__sigmoid,control,36,0.6111111111111112,0.3917514209881966,0,14
sequential_interactions__svc__sigmoid,early,6,0.8333333333333334,0.7571499784175403,1,0
sequential_interactions__svc__sigmoid,late,7,0.8571428571428571,0.8342661988876102,1,0
sequential_interactions__svc__sigmoid,middle,14,0.8571428571428571,0.7418738836625366,2,0
stage_activation_summary__lr__elasticnet,AD_high_MMSE,8,0.5,0.5469521221643496,4,0
stage_activation_summary__lr__elasticnet,control,36,0.6944444444444444,0.4458120648560089,0,11
stage_activation_summary__lr__elasticnet,early,6,0.6666666666666666,0.5281781905563799,2,0
stage_activation_summary__lr__elasticnet,late,7,0.7142857142857143,0.6131658283681202,2,0
stage_activation_summary__lr__elasticnet,middle,14,0.5,0.49792311702545794,7,0
stage_activation_summary__lr__l1,AD_high_MMSE,8,0.5,0.5453567749466057,4,0
stage_activation_summary__lr__l1,control,36,0.6944444444444444,0.44497905296354623,0,11
stage_activation_summary__lr__l1,early,6,0.6666666666666666,0.5277573994388886,2,0
stage_activation_summary__lr__l1,late,7,0.7142857142857143,0.6118206397701408,2,0
stage_activation_summary__lr__l1,middle,14,0.5,0.4962848244939023,7,0
stage_activation_summary__lr__l2,AD_high_MMSE,8,0.5,0.5317132570625317,4,0
stage_activation_summary__lr__l2,control,36,0.6944444444444444,0.45835592405603554,0,11
stage_activation_summary__lr__l2,early,6,0.6666666666666666,0.5262486473759469,2,0
stage_activation_summary__lr__l2,late,7,0.7142857142857143,0.5921878419338956,2,0
stage_activation_summary__lr__l2,middle,14,0.5,0.4966376135320956,7,0
stage_activation_summary__svc__linear,AD_high_MMSE,8,0.875,0.5816733689860613,1,0
stage_activation_summary__svc__linear,control,36,0.5277777777777778,0.48674936129491164,0,17
stage_activation_summary__svc__linear,early,6,0.6666666666666666,0.5367206065301182,2,0
stage_activation_summary__svc__linear,late,7,0.8571428571428571,0.6218716464906623,1,0
stage_activation_summary__svc__linear,middle,14,0.6428571428571429,0.5396626077696013,5,0
stage_activation_summary__svc__poly2,AD_high_MMSE,8,0.5,0.5401123327562443,4,0
stage_activation_summary__svc__poly2,control,36,0.5277777777777778,0.43160780921685493,0,17
stage_activation_summary__svc__poly2,early,6,0.6666666666666666,0.511750309001361,2,0
stage_activation_summary__svc__poly2,late,7,0.5714285714285714,0.6059130901551175,3,0
stage_activation_summary__svc__poly2,middle,14,0.5714285714285714,0.4882510773035279,6,0
stage_activation_summary__svc__poly3,AD_high_MMSE,8,0.625,0.5199512950463581,3,0
stage_activation_summary__svc__poly3,control,36,0.5,0.46851906873189986,0,18
stage_activation_summary__svc__poly3,early,6,0.6666666666666666,0.5400086684947906,2,0
stage_activation_summary__svc__poly3,late,7,0.5714285714285714,0.5811376304593387,3,0
stage_activation_summary__svc__poly3,middle,14,0.5,0.513818403489499,7,0
stage_activation_summary__svc__rbf,AD_high_MMSE,8,0.5,0.554657302323938,4,0
stage_activation_summary__svc__rbf,control,36,0.6111111111111112,0.4205906776978065,0,14
stage_activation_summary__svc__rbf,early,6,0.6666666666666666,0.5269439557426331,2,0
stage_activation_summary__svc__rbf,late,7,0.5714285714285714,0.595147468216871,3,0
stage_activation_summary__svc__rbf,middle,14,0.5714285714285714,0.49228779076379553,6,0
stage_activation_summary__svc__sigmoid,AD_high_MMSE,8,0.875,0.5854770546271773,1,0
stage_activation_summary__svc__sigmoid,control,36,0.4722222222222222,0.5039382051201602,0,19
stage_activation_summary__svc__sigmoid,early,6,0.8333333333333334,0.5598744878742542,1,0
stage_activation_summary__svc__sigmoid,late,7,0.8571428571428571,0.6354061895943259,1,0
stage_activation_summary__svc__sigmoid,middle,14,0.6428571428571429,0.5407231507674618,5,0
stage_score_early_late__lr__l2,AD_high_MMSE,8,0.625,0.5486717345631926,3,0
stage_score_early_late__lr__l2,control,36,0.6666666666666666,0.38920280523226736,0,12
stage_score_early_late__lr__l2,early,6,0.6666666666666666,0.5566677850022447,2,0
stage_score_early_late__lr__l2,late,7,1.0,0.7769616720500141,0,0
stage_score_early_late__lr__l2,middle,14,0.7857142857142857,0.65166164569412,3,0
stage_score_early_middle__lr__l2,AD_high_MMSE,8,0.875,0.791750891953573,1,0
stage_score_early_middle__lr__l2,control,36,0.6111111111111112,0.43538841149289326,0,14
stage_score_early_middle__lr__l2,early,6,0.8333333333333334,0.8157135177545678,1,0
stage_score_early_middle__lr__l2,late,7,0.8571428571428571,0.8616934862082493,1,0
stage_score_early_middle__lr__l2,middle,14,0.9285714285714286,0.8222820428583513,1,0
stage_score_middle_late__lr__l2,AD_high_MMSE,8,0.875,0.7547696222845548,1,0
stage_score_middle_late__lr__l2,control,36,0.6666666666666666,0.41546617509634326,0,12
stage_score_middle_late__lr__l2,early,6,0.8333333333333334,0.7627272546160836,1,0
stage_score_middle_late__lr__l2,late,7,0.8571428571428571,0.8284475152562941,1,0
stage_score_middle_late__lr__l2,middle,14,0.8571428571428571,0.7102249231643007,2,0
stage_score_three_stage__lr__l2,AD_high_MMSE,8,0.875,0.7169195285686012,1,0
stage_score_three_stage__lr__l2,control,36,0.6388888888888888,0.4129870044345665,0,13
stage_score_three_stage__lr__l2,early,6,0.8333333333333334,0.7846348774608489,1,0
stage_score_three_stage__lr__l2,late,7,0.8571428571428571,0.8504829496950908,1,0
stage_score_three_stage__lr__l2,middle,14,0.9285714285714286,0.7446098653182983,1,0
