model_name,group,feature_block,mechanism_consistent,best_params,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,mcc,log_loss,brier,tn,fp,fn,tp,threshold
all_plus_interactions__svc__poly3,three_stage_full_interaction,all_plus_interactions,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7746478873239436,0.7757936507936507,0.8571428571428571,0.6944444444444444,0.7317073170731707,0.7894736842105263,0.8277777777777778,0.8011088952317688,0.5582734523912609,0.6272651850206751,0.17790276627770632,25,11,5,30,0.5
sequential_interactions__svc__poly3,sequential_scale,sequential_interactions,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7746478873239436,0.7757936507936507,0.8571428571428571,0.6944444444444444,0.7317073170731707,0.7894736842105263,0.8095238095238095,0.7817158360865798,0.5582734523912609,0.6479456358434126,0.18483416046899667,25,11,5,30,0.5
early__svc__poly2,single_stage_early_mild,early,False,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7746478873239436,0.7757936507936507,0.8571428571428571,0.6944444444444444,0.7317073170731707,0.7894736842105263,0.7555555555555555,0.7038282998832638,0.5582734523912609,0.590051495634946,0.20039896796528636,25,11,5,30,0.5
early_middle__svc__poly2,two_stage_raw,early_middle,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7626984126984127,0.9142857142857143,0.6111111111111112,0.6956521739130435,0.7901234567901234,0.846031746031746,0.8419607476658055,0.5499507475280803,0.6397116740546447,0.1827589655963901,22,14,3,32,0.5
early_middle__svc__rbf,two_stage_raw,early_middle,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7623015873015873,0.8857142857142857,0.6388888888888888,0.7045454545454546,0.7848101265822784,0.8476190476190475,0.8591202192093915,0.540266409539481,0.5193765995722176,0.17144925741124117,23,13,4,31,0.5
all__svc__rbf,three_stage_raw,all,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7623015873015873,0.8857142857142857,0.6388888888888888,0.7045454545454546,0.7848101265822784,0.8468253968253968,0.8571093887523901,0.540266409539481,0.5190207846892809,0.17112297680264943,23,13,4,31,0.5
middle_late_scale__svc__rbf,sequential_scale,middle_late_scale,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7623015873015873,0.8857142857142857,0.6388888888888888,0.7045454545454546,0.7848101265822784,0.8460317460317459,0.8532015161781333,0.540266409539481,0.5259298889007213,0.1728925548063376,23,13,4,31,0.5
stage_score_three_stage__lr__l2,stage_score_interaction,all,True,"{""base_C"": 1.0, ""class_weight"": null, ""meta_C"": 0.1}",0.7605633802816901,0.7623015873015873,0.8857142857142857,0.6388888888888888,0.7045454545454546,0.7848101265822784,0.8103174603174603,0.8239099415333201,0.540266409539481,0.5684319814751814,0.18716683135419462,23,13,4,31,0.5
middle_late_scale__lr__l2,sequential_scale,middle_late_scale,False,"{""clf__C"": 1.0, ""clf__class_weight"": null}",0.7605633802816901,0.7623015873015873,0.8857142857142857,0.6388888888888888,0.7045454545454546,0.7848101265822784,0.8031746031746032,0.811346018864424,0.540266409539481,1.012497730306999,0.21387811307607707,23,13,4,31,0.5
all_plus_interactions__svc__rbf,three_stage_full_interaction,all_plus_interactions,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7619047619047619,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.7792207792207793,0.8452380952380952,0.8556012916771881,0.532764181416351,0.5247026515714617,0.17082566714628886,24,12,5,30,0.5
all__svc__sigmoid,three_stage_raw,all,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7619047619047619,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.7792207792207793,0.8333333333333334,0.830840070140502,0.532764181416351,0.6103391381927689,0.18605705757730479,24,12,5,30,0.5
all__lr__l2,three_stage_raw,all,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.7605633802816901,0.7619047619047619,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.7792207792207793,0.830952380952381,0.8273415111437548,0.532764181416351,0.6413558375735141,0.18435014686473597,24,12,5,30,0.5
all_plus_interactions__svc__sigmoid,three_stage_full_interaction,all_plus_interactions,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7619047619047619,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.7792207792207793,0.8293650793650793,0.8184634052270844,0.532764181416351,0.6017481217264852,0.1819273287162831,24,12,5,30,0.5
early_middle_scale__svc__sigmoid,sequential_scale,early_middle_scale,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7619047619047619,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.7792207792207793,0.8285714285714286,0.8234751758753599,0.532764181416351,0.614950608451407,0.1854897251282813,24,12,5,30,0.5
early_middle__svc__sigmoid,two_stage_raw,early_middle,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7619047619047619,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.7792207792207793,0.8253968253968254,0.8167301972129878,0.532764181416351,0.6172233954910479,0.18764556671076155,24,12,5,30,0.5
middle_late_scale__svc__poly2,sequential_scale,middle_late_scale,False,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7605633802816901,0.7619047619047619,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.7792207792207793,0.8214285714285714,0.822941819681072,0.532764181416351,0.7030805712656686,0.1949328828618057,24,12,5,30,0.5
stage_score_middle_late__lr__l2,stage_score_interaction,all,True,"{""base_C"": 0.1, ""class_weight"": ""balanced"", ""meta_C"": 0.1}",0.7605633802816901,0.7619047619047619,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.7792207792207793,0.8119047619047619,0.8014377693383453,0.532764181416351,0.5571663236319417,0.18370595266766354,24,12,5,30,0.5
early_middle_scale__svc__rbf,sequential_scale,early_middle_scale,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",0.7464788732394366,0.7484126984126984,0.8857142857142857,0.6111111111111112,0.6888888888888889,0.775,0.8492063492063493,0.8627954192455966,0.5155800802553882,0.5225589712371028,0.17195465074337268,22,14,4,31,0.5
early_middle_scale__lr__elasticnet,sequential_scale,early_middle_scale,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.75}",0.7464788732394366,0.7484126984126984,0.8857142857142857,0.6111111111111112,0.6888888888888889,0.775,0.823015873015873,0.8343264532309688,0.5155800802553882,0.7471245993484275,0.21588364981823233,22,14,4,31,0.5
early_middle__lr__elasticnet,two_stage_raw,early_middle,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.75}",0.7464788732394366,0.7484126984126984,0.8857142857142857,0.6111111111111112,0.6888888888888889,0.775,0.823015873015873,0.8341936600037878,0.5155800802553882,0.7485083500829123,0.21608764026311345,22,14,4,31,0.5
all__lr__elasticnet,three_stage_raw,all,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.75}",0.7464788732394366,0.7484126984126984,0.8857142857142857,0.6111111111111112,0.6888888888888889,0.775,0.823015873015873,0.8341936600037878,0.5155800802553882,0.7485405640324957,0.21609648092756104,22,14,4,31,0.5
sequential_interactions__svc__sigmoid,sequential_scale,sequential_interactions,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.7464788732394366,0.7484126984126984,0.8857142857142857,0.6111111111111112,0.6888888888888889,0.775,0.8158730158730159,0.8127644848005607,0.5155800802553882,0.6128301925359222,0.18920779266962465,22,14,4,31,0.5
stage_score_early_middle__lr__l2,stage_score_interaction,all,True,"{""base_C"": 1.0, ""class_weight"": null, ""meta_C"": 1.0}",0.7464788732394366,0.7484126984126984,0.8857142857142857,0.6111111111111112,0.6888888888888889,0.775,0.8087301587301586,0.7994012864315461,0.5155800802553882,0.6510399154948046,0.20180088824964446,22,14,4,31,0.5
all__lr__l1,three_stage_raw,all,False,"{""clf__C"": 1.0, ""clf__class_weight"": null}",0.7464788732394366,0.7484126984126984,0.8857142857142857,0.6111111111111112,0.6888888888888889,0.775,0.8031746031746032,0.7924966446119427,0.5155800802553882,0.7955424429601258,0.21857036559330348,22,14,4,31,0.5
early_middle_scale__lr__l1,sequential_scale,early_middle_scale,False,"{""clf__C"": 1.0, ""clf__class_weight"": null}",0.7464788732394366,0.7484126984126984,0.8857142857142857,0.6111111111111112,0.6888888888888889,0.775,0.8015873015873016,0.7908050422839862,0.5155800802553882,0.7938033991398451,0.21815476562502006,22,14,4,31,0.5
early_middle__lr__l1,two_stage_raw,early_middle,False,"{""clf__C"": 1.0, ""clf__class_weight"": null}",0.7464788732394366,0.7484126984126984,0.8857142857142857,0.6111111111111112,0.6888888888888889,0.775,0.8015873015873016,0.7907411861048974,0.5155800802553882,0.7990597071800819,0.218525437897869,22,14,4,31,0.5
sequential_interactions__svc__poly2,sequential_scale,sequential_interactions,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7464788732394366,0.748015873015873,0.8571428571428571,0.6388888888888888,0.6976744186046512,0.7692307692307693,0.8039682539682539,0.7737997769521502,0.5074362644869594,0.7030403049588866,0.1951185144763351,23,13,5,30,0.5
middle__lr__l2,single_stage_middle_moderate,middle,False,"{""clf__C"": 0.03, ""clf__class_weight"": null}",0.7464788732394366,0.7476190476190476,0.8285714285714286,0.6666666666666666,0.7073170731707317,0.7631578947368421,0.8222222222222222,0.8285685245738462,0.5012412004203551,0.5805227953492179,0.18535673384188647,24,12,6,29,0.5
middle_late__lr__l2,two_stage_raw,middle_late,False,"{""clf__C"": 0.03, ""clf__class_weight"": null}",0.7464788732394366,0.7476190476190476,0.8285714285714286,0.6666666666666666,0.7073170731707317,0.7631578947368421,0.8198412698412698,0.8251902055042829,0.5012412004203551,0.5799257762400835,0.18524390846398836,24,12,6,29,0.5
early__svc__rbf,single_stage_early_mild,early,False,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}",0.7464788732394366,0.7472222222222222,0.8,0.6944444444444444,0.717948717948718,0.7567567567567568,0.7682539682539682,0.7434393299078126,0.4968158942340037,0.5770509239415181,0.19234515806102553,25,11,7,28,0.5
sequential_interactions__svc__rbf,sequential_scale,sequential_interactions,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",0.7464788732394366,0.7468253968253968,0.7714285714285715,0.7222222222222222,0.7297297297297297,0.75,0.8325396825396825,0.8475564441991167,0.49404304702508106,0.5403330606585236,0.17869607335450538,26,10,8,27,0.5
all_plus_interactions__svc__linear,three_stage_full_interaction,all_plus_interactions,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.7323943661971831,0.734920634920635,0.9142857142857143,0.5555555555555556,0.6666666666666666,0.7710843373493976,0.8095238095238095,0.8010232831562666,0.5019401053264958,0.8024279772960493,0.21096175967925823,20,16,3,32,0.5
early_middle__svc__linear,two_stage_raw,early_middle,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.7323943661971831,0.7345238095238096,0.8857142857142857,0.5833333333333334,0.6739130434782609,0.7654320987654321,0.8238095238095239,0.8303264383360243,0.4909681144850384,0.7119350274568397,0.21067401115278966,21,15,4,31,0.5
all__svc__linear,three_stage_raw,all,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.7323943661971831,0.7345238095238096,0.8857142857142857,0.5833333333333334,0.6739130434782609,0.7654320987654321,0.8214285714285714,0.8283005625536569,0.4909681144850384,0.7128926962777106,0.21075055474485527,21,15,4,31,0.5
all_plus_interactions__lr__elasticnet,three_stage_full_interaction,all_plus_interactions,False,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.75}",0.7323943661971831,0.7345238095238096,0.8857142857142857,0.5833333333333334,0.6739130434782609,0.7654320987654321,0.8190476190476191,0.8369543478366083,0.4909681144850384,0.7633597161334832,0.2235458293287383,21,15,4,31,0.5
all_plus_interactions__lr__l2,three_stage_full_interaction,all_plus_interactions,False,"{""clf__C"": 0.03, ""clf__class_weight"": null}",0.7323943661971831,0.7341269841269842,0.8571428571428571,0.6111111111111112,0.6818181818181818,0.759493670886076,0.8277777777777778,0.8202603388503317,0.4822347679701873,0.6415176308930722,0.18587783855426254,22,14,5,30,0.5
middle__svc__sigmoid,single_stage_middle_moderate,middle,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.7323943661971831,0.7341269841269842,0.8571428571428571,0.6111111111111112,0.6818181818181818,0.759493670886076,0.8134920634920635,0.8122755439440388,0.4822347679701873,0.6368939664105876,0.1948079896466328,22,14,5,30,0.5
all_plus_interactions__lr__l1,three_stage_full_interaction,all_plus_interactions,False,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}",0.7323943661971831,0.7341269841269842,0.8571428571428571,0.6111111111111112,0.6818181818181818,0.759493670886076,0.8063492063492064,0.8041800560948892,0.4822347679701873,0.7929118600213172,0.2270101055026617,22,14,5,30,0.5
early__svc__sigmoid,single_stage_early_mild,early,False,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.7323943661971831,0.7333333333333334,0.8,0.6666666666666666,0.7,0.7466666666666667,0.7507936507936507,0.7183307007814295,0.47041505352257296,0.6092869624431848,0.2066057774180713,24,12,7,28,0.5
sequential_interactions__svc__linear,sequential_scale,sequential_interactions,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.7183098591549296,0.721031746031746,0.9142857142857143,0.5277777777777778,0.6530612244897959,0.7619047619047619,0.8103174603174603,0.7929852070877315,0.4779258730680251,0.8061578362851406,0.21254726057914589,19,17,3,32,0.5
early_middle_scale__svc__linear,sequential_scale,early_middle_scale,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.7183098591549296,0.7206349206349206,0.8857142857142857,0.5555555555555556,0.6595744680851063,0.7560975609756098,0.8277777777777778,0.8325480880444138,0.4663746855186089,0.6706787539547224,0.20314981655397737,20,16,4,31,0.5
sequential_interactions__lr__l2,sequential_scale,sequential_interactions,False,"{""clf__C"": 1.0, ""clf__class_weight"": null}",0.7183098591549296,0.7206349206349206,0.8857142857142857,0.5555555555555556,0.6595744680851063,0.7560975609756098,0.8055555555555556,0.7751179905037898,0.4663746855186089,1.000811195666118,0.21753264909513004,20,16,4,31,0.5
middle_late_scale__svc__linear,sequential_scale,middle_late_scale,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.7183098591549296,0.7206349206349206,0.8857142857142857,0.5555555555555556,0.6595744680851063,0.7560975609756098,0.7904761904761904,0.8029350162911864,0.4663746855186089,0.7789099440332278,0.23066193632483956,20,16,4,31,0.5
middle_late__svc__sigmoid,two_stage_raw,middle_late,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.7183098591549296,0.7202380952380952,0.8571428571428571,0.5833333333333334,0.6666666666666666,0.75,0.8166666666666667,0.8152666860541959,0.4571037452743458,0.6262068120669294,0.19256011729006464,21,15,5,30,0.5
middle_late_scale__svc__sigmoid,sequential_scale,middle_late_scale,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.7183098591549296,0.71984126984127,0.8285714285714286,0.6111111111111112,0.6744186046511628,0.7435897435897436,0.8126984126984127,0.8142085722877699,0.44979150484124086,0.6454051713767884,0.19865158287119633,22,14,6,29,0.5
middle_late_scale__lr__elasticnet,sequential_scale,middle_late_scale,False,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.5}",0.7183098591549296,0.71984126984127,0.8285714285714286,0.6111111111111112,0.6744186046511628,0.7435897435897436,0.7888888888888889,0.7828277721671183,0.44979150484124086,0.6083951393782918,0.20302044377432854,22,14,6,29,0.5
early_late__svc__poly3,two_stage_raw,early_late,False,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7183098591549296,0.7194444444444444,0.8,0.6388888888888888,0.6829268292682927,0.7368421052631579,0.7634920634920636,0.765052146919983,0.4442089484494493,0.574019067576597,0.19575267770387264,23,13,7,28,0.5
