model_name,group,feature_block,mechanism_consistent,best_cv_score_grid,best_params,fit_seconds,cv_accuracy,cv_balanced_accuracy,cv_sensitivity,cv_specificity,cv_precision,cv_f1,cv_roc_auc,cv_pr_auc,cv_mcc,cv_log_loss,cv_brier,cv_tn,cv_fp,cv_fn,cv_tp,cv_threshold,cv_repeated_oof_available
all_plus_interactions__svc__poly2,three_stage_full_interaction,all_plus_interactions,False,0.8919117647058823,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",3.8055427074432373,0.8855421686746988,0.8855667103157282,0.8850574712643678,0.8860759493670886,0.8953488372093024,0.8901734104046243,0.9634802851738689,0.9668340192812903,0.7707410290860831,0.24993633240811772,0.07810965752437586,70,9,10,77,0.5,True
middle__svc__poly2,single_stage_middle_moderate,middle,False,0.8922794117647058,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",2.8452277183532715,0.8855421686746988,0.8849847228284592,0.896551724137931,0.8734177215189873,0.8863636363636364,0.8914285714285715,0.9575876618652699,0.963721367391419,0.7704740679583775,0.2649502126339513,0.08299132092034868,69,10,9,78,0.5,True
middle__lr__l2,single_stage_middle_moderate,middle,False,0.8808823529411764,"{""clf__C"": 0.03, ""clf__class_weight"": null}",1.2512562274932861,0.8795180722891566,0.8821475338280227,0.8275862068965517,0.9367088607594937,0.935064935064935,0.8780487804878049,0.9594063727629856,0.9660570700679648,0.7654095259144624,0.2867172751979896,0.09043726872275011,74,5,15,72,0.5,True
middle_late__lr__l2,two_stage_raw,middle_late,False,0.8808823529411764,"{""clf__C"": 0.03, ""clf__class_weight"": null}",1.7225143909454346,0.8795180722891566,0.8821475338280227,0.8275862068965517,0.9367088607594937,0.935064935064935,0.8780487804878049,0.9582423977884476,0.9652353686747144,0.7654095259144624,0.2883862541133051,0.09129773344333085,74,5,15,72,0.5,True
all__lr__l2,three_stage_raw,all,False,0.8801470588235294,"{""clf__C"": 0.1, ""clf__class_weight"": null}",1.5518312454223633,0.8795180722891566,0.8821475338280227,0.8275862068965517,0.9367088607594937,0.935064935064935,0.8780487804878049,0.9643532664047724,0.9687773063889813,0.7654095259144624,0.2508901880976665,0.0814314857376392,74,5,15,72,0.5,True
all_plus_interactions__lr__l2,three_stage_full_interaction,all_plus_interactions,False,0.8805147058823529,"{""clf__C"": 0.03, ""clf__class_weight"": null}",2.1769967079162598,0.8795180722891566,0.8815655463407537,0.8390804597701149,0.9240506329113924,0.9240506329113924,0.8795180722891566,0.9562054415830059,0.9604858287769774,0.7631310926815074,0.27126104612730034,0.08694726841451181,73,6,14,73,0.5,True
early_middle__svc__sigmoid,two_stage_raw,early_middle,False,0.8746323529411765,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",2.9162991046905518,0.8795180722891566,0.8809835588534847,0.8505747126436781,0.9113924050632911,0.9135802469135802,0.8809523809523809,0.952859013531209,0.9555104561801774,0.761302804487646,0.2811993050965231,0.08734704079090837,72,7,13,74,0.5,True
all__svc__sigmoid,three_stage_raw,all,False,0.8746323529411765,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",2.1971404552459717,0.8795180722891566,0.8809835588534847,0.8505747126436781,0.9113924050632911,0.9135802469135802,0.8809523809523809,0.9532955041466609,0.9560867414363875,0.761302804487646,0.28194421653454466,0.08744162204984728,72,7,13,74,0.5,True
all_plus_interactions__lr__l1,three_stage_full_interaction,all_plus_interactions,False,0.8805147058823529,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}",1.6047117710113525,0.8795180722891566,0.8809835588534847,0.8505747126436781,0.9113924050632911,0.9135802469135802,0.8809523809523809,0.9436927106067219,0.9516622828310782,0.761302804487646,0.3191023187516725,0.09277746129403204,72,7,13,74,0.5,True
early_middle__lr__elasticnet,two_stage_raw,early_middle,False,0.8801470588235294,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.75}",139.45735931396484,0.8795180722891566,0.8798195838789467,0.8735632183908046,0.8860759493670886,0.8941176470588236,0.8837209302325582,0.9564964353266405,0.9641296643097174,0.7589768841378651,0.2653424283534206,0.08345472433875721,70,9,11,76,0.5,True
